"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"NOWIŃSKA Samanta Maria - KW PRAWO I SPRAWIEDLIWOŚĆ";"KROPIDŁOWSKI Krzysztof Paweł - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KLEINA Kazimierz Mariusz - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
220801;"m. Lębork";"lęborski";"pomorskie";23;23;4749;2013;10734
220802;"m. Łeba";"lęborski";"pomorskie";3;3;641;231;1416
220803;"gm. Cewice";"lęborski";"pomorskie";4;4;1269;563;1747
220804;"gm. Nowa Wieś Lęborska";"lęborski";"pomorskie";16;16;2114;974;3725
220805;"gm. Wicko";"lęborski";"pomorskie";10;10;809;418;1540
221201;"m. Ustka";"słupski";"pomorskie";9;9;2726;817;5224
221202;"gm. Damnica";"słupski";"pomorskie";8;8;970;367;1275
221203;"gm. Dębnica Kaszubska";"słupski";"pomorskie";13;13;1517;636;2060
221204;"gm. Główczyce";"słupski";"pomorskie";19;19;1066;949;1461
221205;"gm. Kępice";"słupski";"pomorskie";16;16;1209;514;1927
221206;"gm. Kobylnica";"słupski";"pomorskie";11;11;1779;920;4244
221207;"gm. Potęgowo";"słupski";"pomorskie";10;10;1021;476;1364
221208;"gm. Słupsk";"słupski";"pomorskie";19;19;2612;1183;5748
221209;"gm. Smołdzino";"słupski";"pomorskie";4;4;569;186;791
221210;"gm. Ustka";"słupski";"pomorskie";15;15;1399;639;2328
221501;"m. Reda";"wejherowski";"pomorskie";9;9;3389;1915;9804
221502;"m. Rumia";"wejherowski";"pomorskie";21;21;7050;3569;19952
221503;"m. Wejherowo";"wejherowski";"pomorskie";21;21;6996;2986;14698
221504;"gm. Choczewo";"wejherowski";"pomorskie";7;7;863;352;1537
221505;"gm. Gniewino";"wejherowski";"pomorskie";11;11;1214;566;1787
221506;"gm. Linia";"wejherowski";"pomorskie";7;7;1689;510;1207
221507;"gm. Luzino";"wejherowski";"pomorskie";13;13;3537;1433;4059
221508;"gm. Łęczyce";"wejherowski";"pomorskie";11;11;2251;929;2574
221509;"gm. Szemud";"wejherowski";"pomorskie";11;11;3632;1736;6131
221510;"gm. Wejherowo";"wejherowski";"pomorskie";17;17;4585;2427;8497
226301;"Słupsk";"Słupsk";"pomorskie";47;47;12942;4788;27823
