"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"GÓRSKA Anna - KW NOWA LEWICA";"DRELICH Dariusz - KW PRAWO I SPRAWIEDLIWOŚĆ";"BUTZA Sławomir Łukasz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"MĘCZYKOWSKI Dariusz Franciszek - KWW DARIUSZA MĘCZYKOWSKIEGO"
220101;"gm. Borzytuchom";"bytowski";"pomorskie";7;7;688;533;291;202
220102;"gm. Bytów";"bytowski";"pomorskie";24;24;5749;3939;1664;1299
220103;"gm. Czarna Dąbrówka";"bytowski";"pomorskie";11;11;934;1310;425;249
220104;"gm. Kołczygłowy";"bytowski";"pomorskie";7;7;752;695;355;160
220105;"gm. Lipnica";"bytowski";"pomorskie";7;7;669;1367;343;254
220106;"gm. Miastko";"bytowski";"pomorskie";21;21;3843;2582;1038;828
220107;"gm. Parchowo";"bytowski";"pomorskie";7;7;584;916;312;255
220108;"gm. Studzienice";"bytowski";"pomorskie";5;5;818;685;303;212
220109;"gm. Trzebielino";"bytowski";"pomorskie";5;5;679;498;243;171
220110;"gm. Tuchomie";"bytowski";"pomorskie";8;8;712;777;313;226
220201;"m. Chojnice";"chojnicki";"pomorskie";24;24;9631;6185;2669;1723
220202;"gm. Brusy";"chojnicki";"pomorskie";17;17;1981;3679;1204;825
220203;"gm. Chojnice";"chojnicki";"pomorskie";21;21;3977;3318;1723;940
220204;"gm. Czersk";"chojnicki";"pomorskie";21;21;3358;4760;1450;996
220205;"gm. Konarzyny";"chojnicki";"pomorskie";2;2;394;457;237;95
220301;"m. Człuchów";"człuchowski";"pomorskie";9;9;3650;1824;801;600
220302;"gm. Czarne";"człuchowski";"pomorskie";10;10;2227;1263;804;447
220303;"gm. Człuchów";"człuchowski";"pomorskie";22;22;2108;1711;878;480
220304;"gm. Debrzno";"człuchowski";"pomorskie";12;12;1618;1141;608;384
220305;"gm. Koczała";"człuchowski";"pomorskie";5;5;671;432;257;164
220306;"gm. Przechlewo";"człuchowski";"pomorskie";10;10;1321;944;458;239
220307;"gm. Rzeczenica";"człuchowski";"pomorskie";6;6;679;590;242;149
220501;"gm. Chmielno";"kartuski";"pomorskie";5;5;1291;1687;639;605
220502;"gm. Kartuzy";"kartuski";"pomorskie";24;24;7185;6333;2482;2263
220503;"gm. Przodkowo";"kartuski";"pomorskie";10;10;2015;2103;992;798
220504;"gm. Sierakowice";"kartuski";"pomorskie";13;13;2534;5217;1747;1174
220505;"gm. Somonino";"kartuski";"pomorskie";14;14;1786;2120;847;1042
220506;"gm. Stężyca";"kartuski";"pomorskie";12;12;1718;2489;830;1083
220507;"gm. Sulęczyno";"kartuski";"pomorskie";6;6;903;1392;421;424
220508;"gm. Żukowo";"kartuski";"pomorskie";24;24;12693;6339;3879;3692
220601;"m. Kościerzyna";"kościerski";"pomorskie";12;12;4993;3284;1072;3190
220602;"gm. Dziemiany";"kościerski";"pomorskie";5;5;593;1052;273;470
220603;"gm. Karsin";"kościerski";"pomorskie";5;5;818;1375;441;675
220604;"gm. Kościerzyna";"kościerski";"pomorskie";15;15;2645;2921;1009;2249
220605;"gm. Liniewo";"kościerski";"pomorskie";8;8;601;761;210;766
220606;"gm. Lipusz";"kościerski";"pomorskie";3;3;551;899;258;390
220607;"gm. Nowa Karczma";"kościerski";"pomorskie";8;8;890;1051;296;1459
220608;"gm. Stara Kiszewa";"kościerski";"pomorskie";6;6;957;1329;434;914
