"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MAZUR Dominik - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"ŚWILSKI Ryszard Jan - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"KOBYLARZ Andrzej Sławomir - KWW M. PIASECKIEGO KANDYDATA NA SENATORA RP"
220401;"m. Pruszcz Gdański";"gdański";"pomorskie";16;16;2124;12631;2813
220402;"gm. Cedry Wielkie";"gdański";"pomorskie";7;7;596;1999;787
220403;"gm. Kolbudy";"gdański";"pomorskie";11;11;1477;7943;1873
220404;"gm. Pruszcz Gdański";"gdański";"pomorskie";15;15;2622;13183;3076
220405;"gm. Przywidz";"gdański";"pomorskie";4;4;550;1782;923
220406;"gm. Pszczółki";"gdański";"pomorskie";10;10;1009;3424;1151
220407;"gm. Suchy Dąb";"gdański";"pomorskie";4;4;326;1197;525
220408;"gm. Trąbki Wielkie";"gdański";"pomorskie";6;6;1002;3188;1632
221301;"gm. Czarna Woda";"starogardzki";"pomorskie";3;3;294;649;607
221302;"m. Skórcz";"starogardzki";"pomorskie";2;2;260;877;560
221303;"m. Starogard Gdański";"starogardzki";"pomorskie";24;24;3523;12082;7012
221304;"gm. Bobowo";"starogardzki";"pomorskie";4;4;294;560;568
221305;"gm. Kaliska";"starogardzki";"pomorskie";3;3;472;1182;913
221306;"gm. Lubichowo";"starogardzki";"pomorskie";6;6;591;1565;1094
221307;"gm. Osieczna";"starogardzki";"pomorskie";2;2;298;472;575
221308;"gm. Osiek";"starogardzki";"pomorskie";5;5;255;663;406
221309;"gm. Skarszewy";"starogardzki";"pomorskie";17;17;1277;3175;2321
221310;"gm. Skórcz";"starogardzki";"pomorskie";4;4;444;796;855
221311;"gm. Smętowo Graniczne";"starogardzki";"pomorskie";8;8;537;985;882
221312;"gm. Starogard Gdański";"starogardzki";"pomorskie";22;22;1585;4277;2557
221313;"gm. Zblewo";"starogardzki";"pomorskie";10;10;1194;2361;2220
221401;"m. Tczew";"tczewski";"pomorskie";28;28;4701;16950;7418
221402;"gm. Gniew";"tczewski";"pomorskie";23;23;1318;3121;2287
221403;"gm. Morzeszczyn";"tczewski";"pomorskie";6;6;307;599;582
221404;"gm. Pelplin";"tczewski";"pomorskie";17;17;1395;3435;2225
221405;"gm. Subkowy";"tczewski";"pomorskie";7;7;556;1232;878
221406;"gm. Tczew";"tczewski";"pomorskie";19;19;1511;4431;2055
