"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"SZAJDA Paweł Piotr - KW BEZPARTYJNI SAMORZĄDOWCY";"NITEK-PŁAŻYŃSKA Natalia - KW PRAWO I SPRAWIEDLIWOŚĆ";"KULECKI Łukasz Kazimierz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"CZARNOBAJ Leszek - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
220701;"m. Kwidzyn";"kwidzyński";"pomorskie";24;24;1451;5089;1267;11264
220702;"gm. Gardeja";"kwidzyński";"pomorskie";7;7;335;1376;360;1461
220703;"gm. Kwidzyn";"kwidzyński";"pomorskie";13;13;478;1720;533;2608
220704;"gm. Prabuty";"kwidzyński";"pomorskie";20;20;446;2158;470;2753
220705;"gm. Ryjewo";"kwidzyński";"pomorskie";7;7;186;762;238;1251
220706;"gm. Sadlinki";"kwidzyński";"pomorskie";6;6;249;1096;320;1059
220901;"m. Malbork";"malborski";"pomorskie";21;21;1705;5171;1496;11088
220903;"gm. Lichnowy";"malborski";"pomorskie";4;4;187;657;221;899
220904;"gm. Malbork";"malborski";"pomorskie";4;4;242;633;262;1355
220906;"gm. Miłoradz";"malborski";"pomorskie";4;4;202;590;185;693
220907;"gm. Nowy Staw";"malborski";"pomorskie";7;7;331;1075;326;1545
220908;"gm. Stare Pole";"malborski";"pomorskie";4;4;192;652;215;1086
221001;"m. Krynica Morska";"nowodworski";"pomorskie";1;1;79;316;60;643
221002;"gm. Nowy Dwór Gdański";"nowodworski";"pomorskie";17;17;666;2400;657;4740
221003;"gm. Ostaszewo";"nowodworski";"pomorskie";6;6;155;533;151;663
221004;"gm. Stegna";"nowodworski";"pomorskie";13;13;502;1711;430;2871
221005;"gm. Sztutowo";"nowodworski";"pomorskie";2;2;179;522;176;1036
221601;"gm. Dzierzgoń";"sztumski";"pomorskie";12;12;318;1343;359;1897
221602;"gm. Mikołajki Pomorskie";"sztumski";"pomorskie";4;4;127;548;240;524
221603;"gm. Stary Dzierzgoń";"sztumski";"pomorskie";5;5;106;620;144;631
221604;"gm. Stary Targ";"sztumski";"pomorskie";6;6;243;980;249;913
221605;"gm. Sztum";"sztumski";"pomorskie";16;16;714;2572;712;5172
