"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"SPIECHOWICZ Mariusz Michał - KW BEZPARTYJNI SAMORZĄDOWCY";"SMELA Krzysztof - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"MAJER Ryszard Bogdan - KW PRAWO I SPRAWIEDLIWOŚĆ";"FAJER Monika - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"LASECKI Jarosław Wacław - KWW PAKT OBYWATELSKI LASECKI"
240401;"gm. Blachownia";"częstochowski";"śląskie";8;8;485;2658;2069;705;1224
240402;"gm. Dąbrowa Zielona";"częstochowski";"śląskie";4;4;103;589;920;181;345
240403;"gm. Janów";"częstochowski";"śląskie";8;8;163;820;1412;330;765
240404;"gm. Kamienica Polska";"częstochowski";"śląskie";5;5;179;1249;918;267;601
240405;"gm. Kłomnice";"częstochowski";"śląskie";15;15;447;2358;2892;689;1116
240406;"gm. Koniecpol";"częstochowski";"śląskie";8;8;210;1372;2191;427;669
240407;"gm. Konopiska";"częstochowski";"śląskie";13;13;340;2353;1926;625;1007
240408;"gm. Kruszyna";"częstochowski";"śląskie";6;6;123;844;1105;277;314
240409;"gm. Lelów";"częstochowski";"śląskie";9;9;108;569;1336;235;419
240410;"gm. Mstów";"częstochowski";"śląskie";12;12;381;1769;2503;556;1205
240411;"gm. Mykanów";"częstochowski";"śląskie";18;18;330;4354;3114;624;689
240412;"gm. Olsztyn";"częstochowski";"śląskie";8;8;265;1598;1597;417;958
240413;"gm. Poczesna";"częstochowski";"śląskie";10;10;434;2703;2326;732;1202
240414;"gm. Przyrów";"częstochowski";"śląskie";8;8;71;462;878;198;418
240415;"gm. Rędziny";"częstochowski";"śląskie";6;6;668;1718;1926;490;761
240416;"gm. Starcza";"częstochowski";"śląskie";5;5;88;650;605;140;296
240601;"gm. Kłobuck";"kłobucki";"śląskie";15;15;681;3854;3666;1091;2377
240602;"gm. Krzepice";"kłobucki";"śląskie";9;9;257;1389;1980;485;813
240603;"gm. Lipie";"kłobucki";"śląskie";5;5;145;835;1603;346;514
240604;"gm. Miedźno";"kłobucki";"śląskie";8;8;228;1059;1974;432;649
240605;"gm. Opatów";"kłobucki";"śląskie";7;7;189;1075;1343;461;601
240606;"gm. Panki";"kłobucki";"śląskie";4;4;151;841;993;349;484
240607;"gm. Popów";"kłobucki";"śląskie";7;7;185;800;1123;527;668
240608;"gm. Przystajń";"kłobucki";"śląskie";6;6;176;889;1266;319;549
240609;"gm. Wręczyca Wielka";"kłobucki";"śląskie";11;11;564;3074;3399;1244;1622
240701;"m. Lubliniec";"lubliniecki";"śląskie";19;19;786;3208;3933;1378;3528
240702;"gm. Boronów";"lubliniecki";"śląskie";2;2;127;457;771;186;287
240703;"gm. Ciasna";"lubliniecki";"śląskie";10;10;248;817;1154;471;843
240704;"gm. Herby";"lubliniecki";"śląskie";6;6;205;1025;1249;478;829
240705;"gm. Kochanowice";"lubliniecki";"śląskie";9;9;190;763;1368;452;694
240706;"gm. Koszęcin";"lubliniecki";"śląskie";6;6;425;1333;2571;696;1314
240707;"gm. Pawonków";"lubliniecki";"śląskie";9;9;236;627;1139;455;627
240708;"gm. Woźniki";"lubliniecki";"śląskie";10;10;335;1119;2132;558;989
240901;"m. Myszków";"myszkowski";"śląskie";23;23;860;4496;5451;1586;4231
240902;"gm. Koziegłowy";"myszkowski";"śląskie";16;16;507;1820;3236;806;1789
240903;"gm. Niegowa";"myszkowski";"śląskie";6;6;132;493;1587;374;574
240904;"gm. Poraj";"myszkowski";"śląskie";7;7;291;2146;1851;475;1534
240905;"gm. Żarki";"myszkowski";"śląskie";9;9;295;1119;1824;467;1046
