"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"RADO Michał Marcin - KW BEZPARTYJNI SAMORZĄDOWCY";"UJAZDOWSKI Kazimierz Michał - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"OBREMSKI Jarosław Wojciech - KW PRAWO I SPRAWIEDLIWOŚĆ"
20401;"gm. Góra";"górowski";"dolnośląskie";13;13;1597;4318;3156
20402;"gm. Jemielno";"górowski";"dolnośląskie";4;4;231;420;704
20403;"gm. Niechlów";"górowski";"dolnośląskie";4;4;373;627;1160
20404;"gm. Wąsosz";"górowski";"dolnośląskie";8;8;551;1392;1511
21301;"gm. Cieszków";"milicki";"dolnośląskie";3;3;375;1008;1038
21302;"gm. Krośnice";"milicki";"dolnośląskie";5;5;674;1656;1727
21303;"gm. Milicz";"milicki";"dolnośląskie";28;28;1897;5731;4708
21401;"m. Oleśnica";"oleśnicki";"dolnośląskie";23;23;3121;10778;6244
21402;"gm. Bierutów";"oleśnicki";"dolnośląskie";14;14;769;2018;1983
21403;"gm. Dobroszyce";"oleśnicki";"dolnośląskie";3;3;675;1852;1461
21404;"gm. Dziadowa Kłoda";"oleśnicki";"dolnośląskie";3;3;376;1075;785
21405;"gm. Międzybórz";"oleśnicki";"dolnośląskie";6;6;446;1158;911
21406;"gm. Oleśnica";"oleśnicki";"dolnośląskie";10;10;1392;3921;2764
21407;"gm. Syców";"oleśnicki";"dolnośląskie";14;14;1343;4948;2677
21408;"gm. Twardogóra";"oleśnicki";"dolnośląskie";6;6;1122;3107;2449
21501;"m. Oława";"oławski";"dolnośląskie";19;19;4243;8525;5404
21502;"gm. Domaniów";"oławski";"dolnośląskie";11;11;617;994;1208
21503;"gm. Jelcz-Laskowice";"oławski";"dolnośląskie";13;13;2775;5471;4544
21504;"gm. Oława";"oławski";"dolnośląskie";13;13;2898;3086;2833
21701;"gm. Borów";"strzeliński";"dolnośląskie";4;4;407;1127;1418
21702;"gm. Kondratowice";"strzeliński";"dolnośląskie";7;7;292;770;1029
21703;"gm. Przeworno";"strzeliński";"dolnośląskie";9;9;390;839;1210
21704;"gm. Strzelin";"strzeliński";"dolnośląskie";22;22;2047;5955;4429
21705;"gm. Wiązów";"strzeliński";"dolnośląskie";9;9;594;1253;1765
21801;"gm. Kostomłoty";"średzki";"dolnośląskie";6;6;542;1576;1472
21802;"gm. Malczyce";"średzki";"dolnośląskie";8;8;497;1283;1257
21803;"gm. Miękinia";"średzki";"dolnośląskie";12;12;1948;6108;3216
21804;"gm. Środa Śląska";"średzki";"dolnośląskie";27;27;1703;5164;3832
21805;"gm. Udanin";"średzki";"dolnośląskie";4;4;350;903;1416
22001;"gm. Oborniki Śląskie";"trzebnicki";"dolnośląskie";24;24;1881;6248;4063
22002;"gm. Prusice";"trzebnicki";"dolnośląskie";13;13;934;1902;2166
22003;"gm. Trzebnica";"trzebnicki";"dolnośląskie";32;32;2297;6865;4891
22004;"gm. Wisznia Mała";"trzebnicki";"dolnośląskie";13;13;1162;3519;2281
22005;"gm. Zawonia";"trzebnicki";"dolnośląskie";5;5;586;1340;1189
22006;"gm. Żmigród";"trzebnicki";"dolnośląskie";19;19;1620;3163;2758
22201;"gm. Brzeg Dolny";"wołowski";"dolnośląskie";12;12;1397;4460;2887
22202;"gm. Wińsko";"wołowski";"dolnośląskie";8;8;625;1241;2199
22203;"gm. Wołów";"wołowski";"dolnośląskie";19;19;2070;5415;4747
22301;"gm. Czernica";"wrocławski";"dolnośląskie";8;8;2191;7702;3104
22302;"gm. Długołęka";"wrocławski";"dolnośląskie";26;26;4082;13065;6421
22303;"gm. Jordanów Śląski";"wrocławski";"dolnośląskie";3;3;339;767;847
22304;"gm. Kąty Wrocławskie";"wrocławski";"dolnośląskie";21;21;2601;8777;4658
22305;"gm. Kobierzyce";"wrocławski";"dolnośląskie";22;22;2133;8062;3320
22306;"gm. Mietków";"wrocławski";"dolnośląskie";6;6;390;952;808
22307;"gm. Sobótka";"wrocławski";"dolnośląskie";8;8;1159;3409;2660
22308;"gm. Siechnice";"wrocławski";"dolnośląskie";20;20;2842;9197;3920
22309;"gm. Żórawina";"wrocławski";"dolnośląskie";11;11;1212;4011;2098
