"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"CHMIELEWSKI Łukasz - KW PRAWO I SPRAWIEDLIWOŚĆ";"FRANKIEWICZ Zygmunt Mieczysław - KWW ZYGMUNT FRANKIEWICZ - PAKT SENACKI"
240501;"m. Knurów";"gliwicki";"śląskie";22;22;7581;11894
240502;"m. Pyskowice";"gliwicki";"śląskie";9;9;2634;5844
240503;"gm. Gierałtowice";"gliwicki";"śląskie";6;6;2705;4447
240504;"gm. Pilchowice";"gliwicki";"śląskie";8;8;2265;4580
240505;"gm. Rudziniec";"gliwicki";"śląskie";16;16;1837;3594
240506;"gm. Sośnicowice";"gliwicki";"śląskie";9;9;1291;3219
240507;"gm. Toszek";"gliwicki";"śląskie";8;8;1765;2742
240508;"gm. Wielowieś";"gliwicki";"śląskie";9;9;1070;1677
241301;"m. Kalety";"tarnogórski";"śląskie";5;5;1848;2443
241302;"m. Miasteczko Śląskie";"tarnogórski";"śląskie";5;5;1724;1983
241303;"m. Radzionków";"tarnogórski";"śląskie";8;8;3898;5085
241304;"m. Tarnowskie Góry";"tarnogórski";"śląskie";32;32;11318;22729
241305;"gm. Krupski Młyn";"tarnogórski";"śląskie";4;4;675;988
241306;"gm. Ożarowice";"tarnogórski";"śląskie";4;4;1393;2297
241307;"gm. Świerklaniec";"tarnogórski";"śląskie";6;6;2514;4590
241308;"gm. Tworóg";"tarnogórski";"śląskie";9;9;1732;2465
241309;"gm. Zbrosławice";"tarnogórski";"śląskie";20;20;2499;5579
246601;"Gliwice";"Gliwice";"śląskie";119;119;26019;71146
