"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"GAWĘDA Ewa Maria - KW BEZPARTYJNI SAMORZĄDOWCY";"MAKAREWICZ Konrad Karol - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"SIEDLACZEK Henryk Piotr - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"PUSTELNIK Adam Ferdynand - KW ŚLONZOKI RAZEM"
241101;"m. Racibórz";"raciborski";"śląskie";29;29;7955;2918;12438;1880
241102;"gm. Kornowac";"raciborski";"śląskie";5;5;1350;294;804;278
241103;"gm. Krzanowice";"raciborski";"śląskie";6;6;932;254;1003;234
241104;"gm. Krzyżanowice";"raciborski";"śląskie";10;10;1877;484;2125;593
241105;"gm. Kuźnia Raciborska";"raciborski";"śląskie";10;10;1382;509;2508;442
241106;"gm. Nędza";"raciborski";"śląskie";9;9;1030;388;1403;385
241107;"gm. Pietrowice Wielkie";"raciborski";"śląskie";7;7;1092;340;1228;359
241108;"gm. Rudnik";"raciborski";"śląskie";9;9;829;270;812;236
241501;"m. Pszów";"wodzisławski";"śląskie";5;5;3279;758;2233;687
241502;"m. Radlin";"wodzisławski";"śląskie";9;9;2959;878;3618;1389
241503;"m. Rydułtowy";"wodzisławski";"śląskie";13;13;4211;1127;3882;1315
241504;"m. Wodzisław Śląski";"wodzisławski";"śląskie";25;25;9938;2630;9871;2174
241505;"gm. Godów";"wodzisławski";"śląskie";16;16;3300;960;2313;1126
241506;"gm. Gorzyce";"wodzisławski";"śląskie";17;17;5055;1227;3738;1317
241507;"gm. Lubomia";"wodzisławski";"śląskie";7;7;2252;304;1101;250
241508;"gm. Marklowice";"wodzisławski";"śląskie";4;4;1111;282;1261;393
241509;"gm. Mszana";"wodzisławski";"śląskie";4;4;2241;479;985;593
247901;"Żory";"Żory";"śląskie";25;25;10027;4587;13524;4018
246701;"Jastrzębie-Zdrój";"Jastrzębie-Zdrój";"śląskie";38;38;16774;5951;15583;4312
