"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MASŁOWSKI Piotr Paweł - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"PIECHA Wojciech Piotr - KW PRAWO I SPRAWIEDLIWOŚĆ";"FOJCIK Andrzej Ryszard - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"MAŁEK Mirosław Jan - KW POLSKA 2050"
240801;"m. Łaziska Górne";"mikołowski";"śląskie";16;16;5405;3987;1521;955
240802;"m. Mikołów";"mikołowski";"śląskie";24;24;12485;7164;2645;1947
240803;"m. Orzesze";"mikołowski";"śląskie";16;16;4838;4524;1883;912
240804;"gm. Ornontowice";"mikołowski";"śląskie";3;3;1288;1425;522;226
240805;"gm. Wyry";"mikołowski";"śląskie";6;6;2375;1622;763;444
241201;"gm. Czerwionka-Leszczyny";"rybnicki";"śląskie";21;21;7480;9233;3136;1709
241202;"gm. Gaszowice";"rybnicki";"śląskie";7;7;2039;2132;761;462
241203;"gm. Jejkowice";"rybnicki";"śląskie";3;3;798;1050;358;222
241204;"gm. Lyski";"rybnicki";"śląskie";11;11;1945;2149;771;540
241205;"gm. Świerklany";"rybnicki";"śląskie";6;6;2048;3398;969;501
247301;"Rybnik";"Rybnik";"śląskie";72;72;29012;25505;8935;8545
