"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"SZOTOWSKI Tomasz - KW BEZPARTYJNI SAMORZĄDOWCY";"GRABOWSKI Arkadiusz Jakub - KW PRAWO I SPRAWIEDLIWOŚĆ";"ŻELAZNY Krystian Zbigniew - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"MAŁECKA-LIBERA Beata Maria - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
240101;"m. Będzin";"będziński";"śląskie";29;29;2492;8164;2224;17376
240102;"m. Czeladź";"będziński";"śląskie";23;23;1657;4479;1372;10167
240103;"m. Wojkowice";"będziński";"śląskie";7;7;525;1355;463;3284
240104;"gm. Bobrowniki";"będziński";"śląskie";10;10;680;2125;610;3983
240105;"gm. Mierzęcice";"będziński";"śląskie";8;8;455;1508;423;2204
240106;"gm. Psary";"będziński";"śląskie";9;9;671;1985;580;4388
240107;"gm. Siewierz";"będziński";"śląskie";9;9;628;2543;766;3608
240108;"m. Sławków";"będziński";"śląskie";5;5;317;1351;364;2019
241601;"m. Poręba";"zawierciański";"śląskie";8;8;379;1477;406;2652
241602;"m. Zawiercie";"zawierciański";"śląskie";42;42;2216;8907;2114;13422
241603;"gm. Irządze";"zawierciański";"śląskie";5;5;101;920;167;377
241604;"gm. Kroczyce";"zawierciański";"śląskie";6;6;287;1662;355;1333
241605;"gm. Łazy";"zawierciański";"śląskie";12;12;737;3183;837;4216
241606;"gm. Ogrodzieniec";"zawierciański";"śląskie";8;8;473;2091;543;2351
241607;"gm. Pilica";"zawierciański";"śląskie";10;10;395;2608;504;1404
241608;"gm. Szczekociny";"zawierciański";"śląskie";14;14;325;2237;362;1226
241609;"gm. Włodowice";"zawierciański";"śląskie";8;8;279;1315;295;1156
241610;"gm. Żarnowiec";"zawierciański";"śląskie";10;10;218;1502;259;552
246501;"Dąbrowa Górnicza";"Dąbrowa Górnicza";"śląskie";67;67;5219;18474;4810;37974
