"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"CHRZĄSZCZ Jan Stanisław - KW PRAWO I SPRAWIEDLIWOŚĆ";"CZAPIGA Cezary Józef - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"GORGOŃ-KOMOR Agnieszka Aleksandra - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"SOCHA-CZYŻ Monika Ewa - KW ZJEDNOCZENIE CHRZEŚCIJAŃSKICH RODZIN"
240201;"m. Szczyrk";"bielski";"śląskie";4;4;1587;417;1594;150
240202;"gm. Bestwina";"bielski";"śląskie";6;6;2417;943;3552;311
240203;"gm. Buczkowice";"bielski";"śląskie";6;6;2580;789;2727;276
240204;"gm. Czechowice-Dziedzice";"bielski";"śląskie";23;23;8507;3177;12963;1083
240205;"gm. Jasienica";"bielski";"śląskie";20;20;5060;1855;6691;886
240206;"gm. Jaworze";"bielski";"śląskie";4;4;1056;511;2846;166
240207;"gm. Kozy";"bielski";"śląskie";5;5;2547;920;3943;314
240208;"gm. Porąbka";"bielski";"śląskie";8;8;3733;1067;3699;436
240209;"gm. Wilamowice";"bielski";"śląskie";8;8;4454;1273;4304;492
240210;"gm. Wilkowice";"bielski";"śląskie";11;11;2681;808;4343;321
241001;"gm. Goczałkowice-Zdrój";"pszczyński";"śląskie";7;7;1609;433;2171;192
241002;"gm. Kobiór";"pszczyński";"śląskie";3;3;1197;373;1226;157
241003;"gm. Miedźna";"pszczyński";"śląskie";11;11;4601;1077;2815;384
241004;"gm. Pawłowice";"pszczyński";"śląskie";15;15;4737;1280;3364;441
241005;"gm. Pszczyna";"pszczyński";"śląskie";31;31;11417;3527;13860;1271
241006;"gm. Suszec";"pszczyński";"śląskie";7;7;3234;984;2505;371
246101;"Bielsko-Biała";"Bielsko-Biała";"śląskie";77;77;29674;9526;55001;3161
