"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MACURA Beata Maria - KW BEZPARTYJNI SAMORZĄDOWCY";"GOŁOTA Konrad Krzysztof - KW NOWA LEWICA";"KALATA Andrzej Jerzy - KW PRAWO I SPRAWIEDLIWOŚĆ";"FLAKA Daniel Krystian - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
240301;"m. Cieszyn";"cieszyński";"śląskie";26;26;2656;9139;4998;2067
240302;"m. Ustroń";"cieszyński";"śląskie";13;13;1460;5316;3222;1173
240303;"m. Wisła";"cieszyński";"śląskie";8;8;1041;3365;953;915
240304;"gm. Brenna";"cieszyński";"śląskie";8;8;1069;2092;2535;928
240305;"gm. Chybie";"cieszyński";"śląskie";6;6;824;1645;2229;680
240306;"gm. Dębowiec";"cieszyński";"śląskie";5;5;580;1198;995;441
240307;"gm. Goleszów";"cieszyński";"śląskie";12;12;1187;3611;1555;990
240308;"gm. Hażlach";"cieszyński";"śląskie";7;7;970;2177;2054;764
240309;"gm. Istebna";"cieszyński";"śląskie";6;6;881;1071;3715;886
240310;"gm. Skoczów";"cieszyński";"śląskie";20;20;2686;5067;4505;1853
240311;"gm. Strumień";"cieszyński";"śląskie";8;8;1123;2416;3007;947
240312;"gm. Zebrzydowice";"cieszyński";"śląskie";8;8;1212;2319;2865;935
241701;"m. Żywiec";"żywiecki";"śląskie";20;20;1876;6776;6197;2017
241702;"gm. Czernichów";"żywiecki";"śląskie";5;5;484;1048;1914;426
241703;"gm. Gilowice";"żywiecki";"śląskie";3;3;389;879;1812;490
241704;"gm. Jeleśnia";"żywiecki";"śląskie";11;11;659;1655;3940;932
241705;"gm. Koszarawa";"żywiecki";"śląskie";4;4;126;248;848;320
241706;"gm. Lipowa";"żywiecki";"śląskie";7;7;718;2040;2527;890
241707;"gm. Łękawica";"żywiecki";"śląskie";4;4;229;625;1309;429
241708;"gm. Łodygowice";"żywiecki";"śląskie";7;7;1114;2650;3570;1253
241709;"gm. Milówka";"żywiecki";"śląskie";7;7;435;1086;3171;656
241710;"gm. Radziechowy-Wieprz";"żywiecki";"śląskie";8;8;711;1575;3839;1001
241711;"gm. Rajcza";"żywiecki";"śląskie";9;9;381;1143;2542;554
241712;"gm. Ślemień";"żywiecki";"śląskie";3;3;221;433;1292;275
241713;"gm. Świnna";"żywiecki";"śląskie";6;6;502;1262;2149;599
241714;"gm. Ujsoły";"żywiecki";"śląskie";5;5;238;592;1260;293
241715;"gm. Węgierska Górka";"żywiecki";"śląskie";8;8;848;2021;4273;1040
