"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KOSIŃ Jakub - KW BEZPARTYJNI SAMORZĄDOWCY";"KACZMAREK Edmund Andrzej - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"WŁOSOWICZ Jacek Władysław - KW PRAWO I SPRAWIEDLIWOŚĆ";"SZAREK Sławomir Aleksander - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KUŁAGA Jerzy Mieczysław - KW ZJEDNOCZENIE CHRZEŚCIJAŃSKICH RODZIN"
260101;"gm. Busko-Zdrój";"buski";"świętokrzyskie";35;35;1430;7926;8005;1486;299
260102;"gm. Gnojno";"buski";"świętokrzyskie";7;7;156;518;1428;179;37
260103;"gm. Nowy Korczyn";"buski";"świętokrzyskie";7;7;133;1042;1497;197;33
260104;"gm. Pacanów";"buski";"świętokrzyskie";8;8;201;1072;1901;277;50
260105;"gm. Solec-Zdrój";"buski";"świętokrzyskie";10;10;177;1113;1431;224;31
260106;"gm. Stopnica";"buski";"świętokrzyskie";14;14;281;1213;2155;352;53
260107;"gm. Tuczępy";"buski";"świętokrzyskie";3;3;157;543;1064;156;28
260108;"gm. Wiślica";"buski";"świętokrzyskie";9;9;170;820;1460;218;69
260201;"gm. Imielno";"jędrzejowski";"świętokrzyskie";4;4;111;737;1106;157;59
260202;"gm. Jędrzejów";"jędrzejowski";"świętokrzyskie";30;30;1170;6177;6101;1341;177
260203;"gm. Małogoszcz";"jędrzejowski";"świętokrzyskie";8;8;418;1694;3343;555;88
260204;"gm. Nagłowice";"jędrzejowski";"świętokrzyskie";8;8;127;973;1174;199;26
260205;"gm. Oksa";"jędrzejowski";"świętokrzyskie";9;9;97;1145;1118;150;22
260206;"gm. Sędziszów";"jędrzejowski";"świętokrzyskie";17;17;400;2427;3043;602;54
260207;"gm. Słupia (Jędrzejowska)";"jędrzejowski";"świętokrzyskie";4;4;83;814;1033;188;23
260208;"gm. Sobków";"jędrzejowski";"świętokrzyskie";8;8;327;1417;2315;445;75
260209;"gm. Wodzisław";"jędrzejowski";"świętokrzyskie";8;8;223;1314;1780;308;33
260301;"gm. Bejsce";"kazimierski";"świętokrzyskie";3;3;80;585;950;141;19
260302;"gm. Czarnocin";"kazimierski";"świętokrzyskie";4;4;87;523;1035;141;22
260303;"gm. Kazimierza Wielka";"kazimierski";"świętokrzyskie";16;16;506;2939;3955;654;91
260304;"gm. Opatowiec";"kazimierski";"świętokrzyskie";5;5;74;593;853;125;10
260305;"gm. Skalbmierz";"kazimierski";"świętokrzyskie";6;6;121;846;2012;239;39
260501;"gm. Fałków";"konecki";"świętokrzyskie";3;3;111;604;1422;156;15
260502;"gm. Gowarczów";"konecki";"świętokrzyskie";5;5;163;717;1336;226;35
260503;"gm. Końskie";"konecki";"świętokrzyskie";27;27;1245;7955;8347;1501;252
260504;"gm. Radoszyce";"konecki";"świętokrzyskie";9;9;303;1027;2569;345;72
260505;"gm. Ruda Maleniecka";"konecki";"świętokrzyskie";6;6;94;539;916;169;16
260506;"gm. Słupia Konecka";"konecki";"świętokrzyskie";7;7;91;452;936;157;30
260507;"gm. Smyków";"konecki";"świętokrzyskie";7;7;220;505;1110;208;34
260508;"gm. Stąporków";"konecki";"świętokrzyskie";21;21;741;2863;3940;750;116
260801;"gm. Działoszyce";"pińczowski";"świętokrzyskie";6;6;176;817;1258;162;36
260802;"gm. Kije";"pińczowski";"świętokrzyskie";6;6;167;564;1012;233;491
260803;"gm. Michałów";"pińczowski";"świętokrzyskie";6;6;233;639;1226;212;73
260804;"gm. Pińczów";"pińczowski";"świętokrzyskie";19;19;1616;3615;4295;872;400
260805;"gm. Złota";"pińczowski";"świętokrzyskie";5;5;197;686;1138;152;49
261201;"gm. Bogoria";"staszowski";"świętokrzyskie";10;10;261;1020;2195;376;51
261202;"gm. Łubnice";"staszowski";"świętokrzyskie";4;4;123;480;1240;189;32
261203;"gm. Oleśnica";"staszowski";"świętokrzyskie";7;7;132;611;951;164;21
261204;"gm. Osiek";"staszowski";"świętokrzyskie";11;11;176;674;2833;351;47
261205;"gm. Połaniec";"staszowski";"świętokrzyskie";11;11;398;2002;3211;590;76
261206;"gm. Rytwiany";"staszowski";"świętokrzyskie";11;11;240;944;1751;340;46
261207;"gm. Staszów";"staszowski";"świętokrzyskie";27;27;932;4698;6174;1089;189
261208;"gm. Szydłów";"staszowski";"świętokrzyskie";7;7;183;599;1305;233;40
261301;"gm. Kluczewsko";"włoszczowski";"świętokrzyskie";5;5;157;721;1735;242;47
261302;"gm. Krasocin";"włoszczowski";"świętokrzyskie";7;7;370;1392;3097;613;96
261303;"gm. Moskorzew";"włoszczowski";"świętokrzyskie";4;4;61;420;795;128;68
261304;"gm. Radków";"włoszczowski";"świętokrzyskie";3;3;59;470;615;104;29
261305;"gm. Secemin";"włoszczowski";"świętokrzyskie";8;8;159;789;1266;211;48
261306;"gm. Włoszczowa";"włoszczowski";"świętokrzyskie";14;14;564;4059;4933;822;169
