"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"DASIOS Piotr Paris - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"RUSIECKI Jarosław - KW PRAWO I SPRAWIEDLIWOŚĆ";"SOKOLNICKI Michał - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KOMOSA Elżbieta Agnieszka - KW RUCH NAPRAWY POLSKI";"MATEREK Marek Jerzy - KW NOWA DEMOKRACJA - TAK"
260601;"gm. Baćkowice";"opatowski";"świętokrzyskie";5;5;453;1559;199;83;147
260602;"gm. Iwaniska";"opatowski";"świętokrzyskie";12;12;648;2311;287;107;161
260603;"gm. Lipnik";"opatowski";"świętokrzyskie";12;12;581;1500;251;100;129
260604;"gm. Opatów";"opatowski";"świętokrzyskie";14;14;1811;2818;489;167;595
260605;"gm. Ożarów";"opatowski";"świętokrzyskie";21;21;1673;2365;482;230;415
260606;"gm. Sadowie";"opatowski";"świętokrzyskie";6;6;469;1101;160;80;197
260607;"gm. Tarłów";"opatowski";"świętokrzyskie";6;6;522;1398;227;73;198
260608;"gm. Wojciechowice";"opatowski";"świętokrzyskie";6;6;608;916;202;103;169
260701;"m. Ostrowiec Świętokrzyski";"ostrowiecki";"świętokrzyskie";38;38;14250;12208;1916;917;3804
260702;"gm. Bałtów";"ostrowiecki";"świętokrzyskie";8;8;1053;907;168;91;140
260703;"gm. Bodzechów";"ostrowiecki";"świętokrzyskie";16;16;2447;2881;457;202;795
260704;"gm. Ćmielów";"ostrowiecki";"świętokrzyskie";9;9;1109;1545;294;121;464
260705;"gm. Kunów";"ostrowiecki";"świętokrzyskie";14;14;1448;2204;298;124;808
260706;"gm. Waśniów";"ostrowiecki";"świętokrzyskie";10;10;597;1774;248;68;442
260901;"m. Sandomierz";"sandomierski";"świętokrzyskie";15;15;5930;4332;1008;457;691
260902;"gm. Dwikozy";"sandomierski";"świętokrzyskie";14;14;1613;1783;405;155;205
260903;"gm. Klimontów";"sandomierski";"świętokrzyskie";12;12;1122;2153;351;160;137
260904;"gm. Koprzywnica";"sandomierski";"świętokrzyskie";11;11;1015;1997;339;91;84
260905;"gm. Łoniów";"sandomierski";"świętokrzyskie";7;7;1115;2112;353;142;82
260906;"gm. Obrazów";"sandomierski";"świętokrzyskie";6;6;1107;1490;267;91;137
260907;"gm. Samborzec";"sandomierski";"świętokrzyskie";10;10;1527;2148;409;129;151
260908;"gm. Wilczyce";"sandomierski";"świętokrzyskie";6;6;649;837;164;54;111
260909;"gm. Zawichost";"sandomierski";"świętokrzyskie";5;5;703;1023;202;69;109
261001;"m. Skarżysko-Kamienna";"skarżyski";"świętokrzyskie";32;32;7397;7441;1206;482;7440
261002;"gm. Bliżyn";"skarżyski";"świętokrzyskie";5;5;1189;1769;354;163;734
261003;"gm. Łączna";"skarżyski";"świętokrzyskie";8;8;582;1275;302;81;505
261004;"gm. Skarżysko Kościelne";"skarżyski";"świętokrzyskie";6;6;614;1110;222;75;1182
261005;"gm. Suchedniów";"skarżyski";"świętokrzyskie";12;12;1076;1479;222;68;2582
261101;"m. Starachowice";"starachowicki";"świętokrzyskie";24;24;4640;6098;999;351;12718
261102;"gm. Brody";"starachowicki";"świętokrzyskie";12;12;741;2038;286;55;2362
261103;"gm. Mirzec";"starachowicki";"świętokrzyskie";10;10;449;1746;192;63;2098
261104;"gm. Pawłów";"starachowicki";"świętokrzyskie";17;17;684;3266;504;94;3106
261105;"gm. Wąchock";"starachowicki";"świętokrzyskie";6;6;581;1179;148;35;1645
