"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"SUCHAŃSKA Katarzyna Aleksandra - KW BEZPARTYJNI SAMORZĄDOWCY";"MILCARZ Henryk Mieczysław - KW NOWA LEWICA";"SŁOŃ Krzysztof Marek - KW PRAWO I SPRAWIEDLIWOŚĆ";"RAK Andrzej - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"BIERNACKI Robert - KW POLSKA JEST JEDNA";"BUGAJSKI Marcin Rafał - KWW BEZPARTYJNY ANTYSYSTEMOWY"
260401;"gm. Bieliny";"kielecki";"świętokrzyskie";11;11;627;711;3207;444;214;81
260402;"gm. Bodzentyn";"kielecki";"świętokrzyskie";15;15;882;1176;2999;463;255;155
260403;"gm. Chęciny";"kielecki";"świętokrzyskie";17;17;1177;2059;3897;697;451;220
260404;"gm. Chmielnik";"kielecki";"świętokrzyskie";18;18;669;1181;3182;447;341;136
260405;"gm. Daleszyce";"kielecki";"świętokrzyskie";19;19;1319;1983;4369;618;407;245
260406;"gm. Górno";"kielecki";"świętokrzyskie";8;8;1251;1456;4277;671;435;227
260407;"gm. Łagów";"kielecki";"świętokrzyskie";10;10;366;394;2164;269;143;62
260408;"gm. Łopuszno";"kielecki";"świętokrzyskie";10;10;560;805;2918;380;218;115
260409;"gm. Masłów";"kielecki";"świętokrzyskie";12;12;1050;2228;2354;463;335;215
260410;"gm. Miedziana Góra";"kielecki";"świętokrzyskie";9;9;1185;1866;2813;489;369;292
260411;"gm. Mniów";"kielecki";"świętokrzyskie";7;7;673;730;2829;332;255;121
260412;"gm. Morawica";"kielecki";"świętokrzyskie";17;17;1699;2767;4190;747;525;233
260413;"gm. Nowa Słupia";"kielecki";"świętokrzyskie";10;10;623;994;2543;324;205;91
260414;"gm. Piekoszów";"kielecki";"świętokrzyskie";17;17;1523;1848;4601;738;428;223
260415;"gm. Pierzchnica";"kielecki";"świętokrzyskie";12;12;342;487;1452;183;101;52
260416;"gm. Raków";"kielecki";"świętokrzyskie";10;10;366;532;1549;181;193;65
260417;"gm. Nowiny";"kielecki";"świętokrzyskie";8;8;776;1465;1577;344;226;116
260418;"gm. Strawczyn";"kielecki";"świętokrzyskie";11;11;909;983;3257;551;335;186
260419;"gm. Zagnańsk";"kielecki";"świętokrzyskie";12;12;1003;2455;2895;430;279;184
266101;"Kielce";"Kielce";"świętokrzyskie";95;95;18484;42458;34589;6594;6069;3028
