"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KOCHAN Łukasz Szymon - KW PRAWO I SPRAWIEDLIWOŚĆ";"WCISŁA Jerzy - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"MASIEWICZ-GRODŹ Justyna Joanna - KW ZJEDNOCZENIE CHRZEŚCIJAŃSKICH RODZIN"
280101;"m. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";13;13;3736;6416;934
280102;"m. Górowo Iławeckie";"bartoszycki";"warmińsko-mazurskie";2;2;644;1020;139
280103;"gm. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";10;10;1979;2199;491
280104;"gm. Bisztynek";"bartoszycki";"warmińsko-mazurskie";10;10;1071;1183;290
280105;"gm. Górowo Iławeckie";"bartoszycki";"warmińsko-mazurskie";9;9;1122;1781;354
280106;"gm. Sępopol";"bartoszycki";"warmińsko-mazurskie";10;10;1191;1001;222
280201;"m. Braniewo";"braniewski";"warmińsko-mazurskie";10;10;2691;4731;575
280202;"gm. Braniewo";"braniewski";"warmińsko-mazurskie";7;7;1107;1170;250
280203;"gm. Frombork";"braniewski";"warmińsko-mazurskie";4;4;574;947;148
280204;"gm. Lelkowo";"braniewski";"warmińsko-mazurskie";4;4;486;368;252
280205;"gm. Pieniężno";"braniewski";"warmińsko-mazurskie";7;7;933;920;753
280206;"gm. Płoskinia";"braniewski";"warmińsko-mazurskie";4;4;471;486;102
280207;"gm. Wilczęta";"braniewski";"warmińsko-mazurskie";4;4;493;534;125
280401;"gm. Elbląg";"elbląski";"warmińsko-mazurskie";8;8;1347;2265;262
280402;"gm. Godkowo";"elbląski";"warmińsko-mazurskie";4;4;673;451;116
280403;"gm. Gronowo Elbląskie";"elbląski";"warmińsko-mazurskie";5;5;783;1272;214
280404;"gm. Markusy";"elbląski";"warmińsko-mazurskie";6;6;835;821;158
280405;"gm. Milejewo";"elbląski";"warmińsko-mazurskie";2;2;665;890;131
280406;"gm. Młynary";"elbląski";"warmińsko-mazurskie";4;4;855;1083;186
280407;"gm. Pasłęk";"elbląski";"warmińsko-mazurskie";18;18;3147;5192;766
280408;"gm. Rychliki";"elbląski";"warmińsko-mazurskie";3;3;695;751;126
280409;"gm. Tolkmicko";"elbląski";"warmińsko-mazurskie";9;9;1100;1618;221
280901;"m. Lidzbark Warmiński";"lidzbarski";"warmińsko-mazurskie";11;11;2265;4732;557
280902;"gm. Kiwity";"lidzbarski";"warmińsko-mazurskie";7;7;679;572;249
280903;"gm. Lidzbark Warmiński";"lidzbarski";"warmińsko-mazurskie";10;10;1143;1420;299
280904;"gm. Lubomino";"lidzbarski";"warmińsko-mazurskie";4;4;603;656;186
280905;"gm. Orneta";"lidzbarski";"warmińsko-mazurskie";9;9;1985;2529;584
286101;"Elbląg";"Elbląg";"warmińsko-mazurskie";62;62;19277;39150;3642
