"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"DULSKI Paweł - KW BEZPARTYJNI SAMORZĄDOWCY";"BRZEZIN Gustaw Marek - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"ORZECHOWSKA Bogusława - KW PRAWO I SPRAWIEDLIWOŚĆ";"FIAŁKOWSKI Michał - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"DĄBROWSKI Tomasz Kiejstut - KOMITET WYBORCZY WOLNOŚCIOWCY"
280301;"m. Działdowo";"działdowski";"warmińsko-mazurskie";14;14;518;5521;3645;834;278
280302;"gm. Działdowo";"działdowski";"warmińsko-mazurskie";21;21;271;1695;1921;428;102
280303;"gm. Iłowo-Osada";"działdowski";"warmińsko-mazurskie";8;8;200;1374;1435;328;89
280304;"gm. Lidzbark";"działdowski";"warmińsko-mazurskie";15;15;359;2806;2801;550;143
280305;"gm. Płośnica";"działdowski";"warmińsko-mazurskie";11;11;130;999;1209;233;76
280306;"gm. Rybno";"działdowski";"warmińsko-mazurskie";9;9;168;1449;1581;329;72
280701;"m. Iława";"iławski";"warmińsko-mazurskie";19;19;939;9596;5681;1417;775
280702;"m. Lubawa";"iławski";"warmińsko-mazurskie";4;4;308;2600;1846;516;123
280703;"gm. Iława";"iławski";"warmińsko-mazurskie";13;13;387;2931;2257;608;184
280704;"gm. Kisielice";"iławski";"warmińsko-mazurskie";10;10;120;1098;1166;207;83
280705;"gm. Lubawa";"iławski";"warmińsko-mazurskie";10;10;251;1942;2471;642;131
280706;"gm. Susz";"iławski";"warmińsko-mazurskie";11;11;340;2126;2165;570;172
280707;"gm. Zalewo";"iławski";"warmińsko-mazurskie";4;4;141;1298;1071;244;75
281201;"m. Nowe Miasto Lubawskie";"nowomiejski";"warmińsko-mazurskie";7;7;269;2830;1676;414;110
281202;"gm. Biskupiec";"nowomiejski";"warmińsko-mazurskie";13;13;194;1818;1857;313;99
281203;"gm. Grodziczno";"nowomiejski";"warmińsko-mazurskie";12;12;177;983;1623;280;86
281204;"gm. Kurzętnik";"nowomiejski";"warmińsko-mazurskie";13;13;234;1768;2058;433;95
281205;"gm. Nowe Miasto Lubawskie";"nowomiejski";"warmińsko-mazurskie";13;13;251;1693;1686;368;104
281501;"m. Ostróda";"ostródzki";"warmińsko-mazurskie";19;19;650;10727;4238;886;398
281502;"gm. Dąbrówno";"ostródzki";"warmińsko-mazurskie";5;5;102;800;769;163;52
281503;"gm. Grunwald";"ostródzki";"warmińsko-mazurskie";6;6;91;1171;889;142;59
281504;"gm. Łukta";"ostródzki";"warmińsko-mazurskie";6;6;115;1248;595;168;47
281505;"gm. Małdyty";"ostródzki";"warmińsko-mazurskie";4;4;136;1266;896;199;82
281506;"gm. Miłakowo";"ostródzki";"warmińsko-mazurskie";5;5;100;1018;911;188;50
281507;"gm. Miłomłyn";"ostródzki";"warmińsko-mazurskie";5;5;75;1585;636;135;38
281508;"gm. Morąg";"ostródzki";"warmińsko-mazurskie";29;29;543;6013;3755;930;308
281509;"gm. Ostróda";"ostródzki";"warmińsko-mazurskie";21;21;253;5036;1932;530;222
