"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"PURPUROWICZ Zbigniew - KW PRAWO I SPRAWIEDLIWOŚĆ";"PRUCNAL Janusz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KALISZUK Ewa Monika - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"ORZECHOWSKA Anna Maria - KW WIS";"STAROŃ Lidia Ewa - KWW LIDIA STAROŃ"
281101;"gm. Janowiec Kościelny";"nidzicki";"warmińsko-mazurskie";5;5;348;103;259;28;755
281102;"gm. Janowo";"nidzicki";"warmińsko-mazurskie";4;4;266;82;261;30;581
281103;"gm. Kozłowo";"nidzicki";"warmińsko-mazurskie";9;9;585;176;528;81;1006
281104;"gm. Nidzica";"nidzicki";"warmińsko-mazurskie";19;19;2055;589;3476;228;3890
281401;"gm. Barczewo";"olsztyński";"warmińsko-mazurskie";22;22;1632;615;4066;240;2821
281402;"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";27;27;1482;461;3211;165;3328
281403;"gm. Dobre Miasto";"olsztyński";"warmińsko-mazurskie";18;18;1546;552;2738;149;2466
281404;"gm. Dywity";"olsztyński";"warmińsko-mazurskie";17;17;1088;513;3747;145;2139
281405;"gm. Gietrzwałd";"olsztyński";"warmińsko-mazurskie";6;6;522;281;1834;82;1095
281406;"gm. Jeziorany";"olsztyński";"warmińsko-mazurskie";11;11;693;196;957;75;1322
281407;"gm. Jonkowo";"olsztyński";"warmińsko-mazurskie";6;6;643;265;1974;96;1165
281408;"gm. Kolno";"olsztyński";"warmińsko-mazurskie";3;3;288;67;330;29;556
281409;"gm. Olsztynek";"olsztyński";"warmińsko-mazurskie";21;21;1263;444;2466;154;2314
281410;"gm. Purda";"olsztyński";"warmińsko-mazurskie";6;6;702;295;1967;91;1521
281411;"gm. Stawiguda";"olsztyński";"warmińsko-mazurskie";10;10;908;590;4437;149;2025
281412;"gm. Świątki";"olsztyński";"warmińsko-mazurskie";6;6;422;116;480;61;566
281701;"m. Szczytno";"szczycieński";"warmińsko-mazurskie";20;20;2347;764;4703;211;4085
281702;"gm. Dźwierzuty";"szczycieński";"warmińsko-mazurskie";7;7;555;225;790;81;1168
281703;"gm. Jedwabno";"szczycieński";"warmińsko-mazurskie";6;6;388;112;645;87;624
281704;"gm. Pasym";"szczycieński";"warmińsko-mazurskie";9;9;499;182;933;50;1088
281705;"gm. Rozogi";"szczycieński";"warmińsko-mazurskie";7;7;649;187;431;72;1068
281706;"gm. Szczytno";"szczycieński";"warmińsko-mazurskie";20;20;1268;485;2290;190;2539
281707;"gm. Świętajno";"szczycieński";"warmińsko-mazurskie";9;9;691;222;887;58;1053
281708;"gm. Wielbark";"szczycieński";"warmińsko-mazurskie";6;6;704;242;682;97;1054
286201;"Olsztyn";"Olsztyn";"warmińsko-mazurskie";101;101;14587;5632;49674;1619;26388
