"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KOBUS Mariola - KW BEZPARTYJNI SAMORZĄDOWCY";"KOPICZKO Małgorzata - KW PRAWO I SPRAWIEDLIWOŚĆ";"ZALEWSKI Artur Zbigniew - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"PIOTROWSKA Jolanta - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
280501;"m. Ełk";"ełcki";"warmińsko-mazurskie";22;22;2368;9268;3980;11775
280502;"gm. Ełk";"ełcki";"warmińsko-mazurskie";17;17;478;2061;865;2068
280503;"gm. Kalinowo";"ełcki";"warmińsko-mazurskie";7;7;223;1295;370;653
280504;"gm. Prostki";"ełcki";"warmińsko-mazurskie";8;8;255;1328;415;758
280505;"gm. Stare Juchy";"ełcki";"warmińsko-mazurskie";4;4;112;649;231;550
280601;"m. Giżycko";"giżycki";"warmińsko-mazurskie";13;13;1095;3898;1110;8062
280604;"gm. Giżycko";"giżycki";"warmińsko-mazurskie";17;17;392;1450;403;2626
280605;"gm. Kruklanki";"giżycki";"warmińsko-mazurskie";4;4;141;441;135;819
280606;"gm. Miłki";"giżycki";"warmińsko-mazurskie";3;3;146;703;206;675
280608;"gm. Ryn";"giżycki";"warmińsko-mazurskie";7;7;190;971;259;1142
280610;"gm. Wydminy";"giżycki";"warmińsko-mazurskie";10;10;228;1126;295;1117
280801;"m. Kętrzyn";"kętrzyński";"warmińsko-mazurskie";16;16;1056;4105;1123;6639
280802;"gm. Barciany";"kętrzyński";"warmińsko-mazurskie";5;5;219;1049;268;788
280803;"gm. Kętrzyn";"kętrzyński";"warmińsko-mazurskie";12;12;355;1197;403;1331
280804;"gm. Korsze";"kętrzyński";"warmińsko-mazurskie";10;10;372;1667;405;1393
280805;"gm. Reszel";"kętrzyński";"warmińsko-mazurskie";12;12;292;1225;330;1526
280806;"gm. Srokowo";"kętrzyński";"warmińsko-mazurskie";5;5;163;609;159;687
281001;"m. Mrągowo";"mrągowski";"warmińsko-mazurskie";13;13;999;3207;1027;5477
281002;"gm. Mikołajki";"mrągowski";"warmińsko-mazurskie";7;7;397;1177;322;1841
281003;"gm. Mrągowo";"mrągowski";"warmińsko-mazurskie";12;12;457;1245;493;1810
281004;"gm. Piecki";"mrągowski";"warmińsko-mazurskie";11;11;446;1363;394;1296
281005;"gm. Sorkwity";"mrągowski";"warmińsko-mazurskie";6;6;287;706;234;885
281303;"gm. Kowale Oleckie";"olecki";"warmińsko-mazurskie";6;6;165;751;275;594
281304;"gm. Olecko";"olecki";"warmińsko-mazurskie";17;17;861;3687;1178;4016
281305;"gm. Świętajno";"olecki";"warmińsko-mazurskie";5;5;137;640;174;535
281306;"gm. Wieliczki";"olecki";"warmińsko-mazurskie";6;6;106;700;236;346
281601;"gm. Biała Piska";"piski";"warmińsko-mazurskie";11;11;1081;1949;449;1073
281602;"gm. Orzysz";"piski";"warmińsko-mazurskie";8;8;424;1793;469;1469
281603;"gm. Pisz";"piski";"warmińsko-mazurskie";18;18;1313;5481;1400;4346
281604;"gm. Ruciane-Nida";"piski";"warmińsko-mazurskie";9;9;363;1531;407;1663
281801;"gm. Banie Mazurskie";"gołdapski";"warmińsko-mazurskie";4;4;107;667;141;635
281802;"gm. Dubeninki";"gołdapski";"warmińsko-mazurskie";3;3;103;559;120;317
281803;"gm. Gołdap";"gołdapski";"warmińsko-mazurskie";18;18;714;3118;839;4167
281901;"gm. Budry";"węgorzewski";"warmińsko-mazurskie";5;5;121;609;125;408
281902;"gm. Pozezdrze";"węgorzewski";"warmińsko-mazurskie";3;3;125;591;133;709
281903;"gm. Węgorzewo";"węgorzewski";"warmińsko-mazurskie";21;21;701;2476;780;3876
