"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KUBIAK Janusz - KW PRAWO I SPRAWIEDLIWOŚĆ";"KOŁOS Józef - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"SZEJNFELD Adam Stanisław - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"PRZYBYŁ Justyna Agnieszka - KW NOWA DEMOKRACJA - TAK"
300101;"m. Chodzież";"chodzieski";"wielkopolskie";11;11;2360;817;6193;963
300102;"gm. Budzyń";"chodzieski";"wielkopolskie";10;10;1198;508;2219;370
300103;"gm. Chodzież";"chodzieski";"wielkopolskie";8;8;860;386;1758;375
300104;"gm. Margonin";"chodzieski";"wielkopolskie";9;9;977;427;1849;339
300105;"gm. Szamocin";"chodzieski";"wielkopolskie";7;7;1188;443;1795;384
300201;"m. Czarnków";"czarnkowsko-trzcianecki";"wielkopolskie";6;6;1391;428;3195;676
300202;"gm. Czarnków";"czarnkowsko-trzcianecki";"wielkopolskie";17;17;1798;689;2434;883
300203;"gm. Drawsko";"czarnkowsko-trzcianecki";"wielkopolskie";7;7;1168;389;1156;328
300204;"gm. Krzyż Wielkopolski";"czarnkowsko-trzcianecki";"wielkopolskie";6;6;1366;406;2016;351
300205;"gm. Lubasz";"czarnkowsko-trzcianecki";"wielkopolskie";11;11;1170;446;1721;842
300206;"gm. Połajewo";"czarnkowsko-trzcianecki";"wielkopolskie";7;7;1335;454;1191;354
300207;"gm. Trzcianka";"czarnkowsko-trzcianecki";"wielkopolskie";18;18;3309;1156;6837;986
300208;"gm. Wieleń";"czarnkowsko-trzcianecki";"wielkopolskie";10;10;2134;674;2625;576
301901;"m. Piła";"pilski";"wielkopolskie";33;33;9801;3308;22532;3181
301902;"gm. Białośliwie";"pilski";"wielkopolskie";6;6;916;370;935;233
301903;"gm. Kaczory";"pilski";"wielkopolskie";10;10;1384;519;1865;477
301904;"gm. Łobżenica";"pilski";"wielkopolskie";15;15;2128;659;1249;379
301905;"gm. Miasteczko Krajeńskie";"pilski";"wielkopolskie";5;5;484;223;703;141
301906;"gm. Szydłowo";"pilski";"wielkopolskie";13;13;1314;629;2756;513
301907;"gm. Ujście";"pilski";"wielkopolskie";9;9;1225;465;1978;414
301908;"gm. Wyrzysk";"pilski";"wielkopolskie";15;15;2343;1068;2582;577
301909;"gm. Wysoka";"pilski";"wielkopolskie";12;12;1264;475;1072;268
302801;"m. Wągrowiec";"wągrowiecki";"wielkopolskie";12;12;3600;1304;7835;1206
302802;"gm. Damasławek";"wągrowiecki";"wielkopolskie";7;7;1156;362;987;257
302803;"gm. Gołańcz";"wągrowiecki";"wielkopolskie";14;14;1468;521;1490;395
302804;"gm. Mieścisko";"wągrowiecki";"wielkopolskie";9;9;1111;371;1328;263
302805;"gm. Skoki";"wągrowiecki";"wielkopolskie";13;13;1541;695;2907;402
302806;"gm. Wapno";"wągrowiecki";"wielkopolskie";3;3;478;179;586;176
302807;"gm. Wągrowiec";"wągrowiecki";"wielkopolskie";19;19;2110;800;2729;644
303101;"m. Złotów";"złotowski";"wielkopolskie";10;10;2419;918;5495;682
303102;"gm. Jastrowie";"złotowski";"wielkopolskie";8;8;1661;524;2421;460
303103;"gm. Krajenka";"złotowski";"wielkopolskie";8;8;1191;477;1776;359
303104;"gm. Lipka";"złotowski";"wielkopolskie";7;7;877;327;1101;234
303105;"gm. Okonek";"złotowski";"wielkopolskie";11;11;1394;428;1688;307
303106;"gm. Tarnówka";"złotowski";"wielkopolskie";4;4;556;207;681;131
303107;"gm. Zakrzewo";"złotowski";"wielkopolskie";8;8;789;361;1121;242
303108;"gm. Złotów";"złotowski";"wielkopolskie";15;15;1521;617;2224;449
