"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"LIBICKI Jan Filip - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"NIJAKA Danuta Maria - KW PRAWO I SPRAWIEDLIWOŚĆ";"OSZMIAN Ryszard - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
300501;"gm. Granowo";"grodziski";"wielkopolskie";5;5;1271;1046;418
300502;"gm. Grodzisk Wielkopolski";"grodziski";"wielkopolskie";10;10;6031;3256;1441
300503;"gm. Kamieniec";"grodziski";"wielkopolskie";6;6;1643;1313;425
300504;"gm. Rakoniewice";"grodziski";"wielkopolskie";6;6;3465;2333;996
300505;"gm. Wielichowo";"grodziski";"wielkopolskie";5;5;1625;1511;426
301401;"gm. Chrzypsko Wielkie";"międzychodzki";"wielkopolskie";3;3;899;587;268
301402;"gm. Kwilcz";"międzychodzki";"wielkopolskie";3;3;1830;996;409
301403;"gm. Międzychód";"międzychodzki";"wielkopolskie";17;17;6087;2491;1272
301404;"gm. Sieraków";"międzychodzki";"wielkopolskie";4;4;2554;1289;565
301501;"gm. Kuślin";"nowotomyski";"wielkopolskie";3;3;1460;985;349
301502;"gm. Lwówek";"nowotomyski";"wielkopolskie";8;8;2580;1466;575
301503;"gm. Miedzichowo";"nowotomyski";"wielkopolskie";2;2;1236;661;258
301504;"gm. Nowy Tomyśl";"nowotomyski";"wielkopolskie";19;19;9830;3475;1814
301505;"gm. Opalenica";"nowotomyski";"wielkopolskie";11;11;5221;2783;1130
301506;"gm. Zbąszyń";"nowotomyski";"wielkopolskie";13;13;4680;1883;1156
301601;"gm. Oborniki";"obornicki";"wielkopolskie";36;36;12112;4676;2380
301602;"gm. Rogoźno";"obornicki";"wielkopolskie";21;21;5355;2707;1275
301603;"gm. Ryczywół";"obornicki";"wielkopolskie";9;9;1986;1177;461
302401;"m. Obrzycko";"szamotulski";"wielkopolskie";1;1;811;423;205
302402;"gm. Duszniki";"szamotulski";"wielkopolskie";5;5;2853;1745;788
302403;"gm. Kaźmierz";"szamotulski";"wielkopolskie";8;8;3287;1276;792
302404;"gm. Obrzycko";"szamotulski";"wielkopolskie";3;3;1280;745;339
302405;"gm. Ostroróg";"szamotulski";"wielkopolskie";2;2;1579;782;328
302406;"gm. Pniewy";"szamotulski";"wielkopolskie";7;7;3851;2005;829
302407;"gm. Szamotuły";"szamotulski";"wielkopolskie";19;19;10774;4347;2173
302408;"gm. Wronki";"szamotulski";"wielkopolskie";17;17;7368;2703;1473
302901;"gm. Przemęt";"wolsztyński";"wielkopolskie";11;11;3586;2918;1054
302902;"gm. Siedlec";"wolsztyński";"wielkopolskie";10;10;3675;2154;1048
302903;"gm. Wolsztyn";"wolsztyński";"wielkopolskie";26;26;10261;4587;2162
