"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"BAREŁKOWSKA Dorota Elżbieta - KW PRAWO I SPRAWIEDLIWOŚĆ";"DZIKOWSKI Waldy - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
302101;"m. Luboń";"poznański";"wielkopolskie";14;14;4804;14474
302102;"m. Puszczykowo";"poznański";"wielkopolskie";7;7;1596;4644
302103;"gm. Buk";"poznański";"wielkopolskie";6;6;2496;4757
302104;"gm. Czerwonak";"poznański";"wielkopolskie";15;15;4308;12635
302105;"gm. Dopiewo";"poznański";"wielkopolskie";16;16;4147;15801
302106;"gm. Kleszczewo";"poznański";"wielkopolskie";4;4;1673;4750
302107;"gm. Komorniki";"poznański";"wielkopolskie";14;14;3732;15587
302108;"gm. Kostrzyn";"poznański";"wielkopolskie";11;11;3646;7395
302109;"gm. Kórnik";"poznański";"wielkopolskie";25;25;4962;15213
302110;"gm. Mosina";"poznański";"wielkopolskie";28;28;5832;14290
302111;"gm. Murowana Goślina";"poznański";"wielkopolskie";13;13;2723;7099
302112;"gm. Pobiedziska";"poznański";"wielkopolskie";17;17;3488;8630
302113;"gm. Rokietnica";"poznański";"wielkopolskie";10;10;2759;10301
302114;"gm. Stęszew";"poznański";"wielkopolskie";8;8;2569;6112
302115;"gm. Suchy Las";"poznański";"wielkopolskie";8;8;2563;9580
302116;"gm. Swarzędz";"poznański";"wielkopolskie";28;28;7939;23834
302117;"gm. Tarnowo Podgórne";"poznański";"wielkopolskie";20;20;4079;15579
