"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"FEDOROWICZ Grzegorz - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"OSTROWSKI Krzysztof Jan - KW PRAWO I SPRAWIEDLIWOŚĆ";"JURGA Michał Aleksander - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"PRZYBYLSKI Dawid Krzysztof - KWW RDIP";"PIASECKI Mirosław - KWW M. PIASECKIEGO KANDYDATA NA SENATORA RP"
300301;"m. Gniezno";"gnieźnieński";"wielkopolskie";39;39;20914;10432;3343;950;1225
300302;"gm. Czerniejewo";"gnieźnieński";"wielkopolskie";8;8;2039;1583;545;136;166
300303;"gm. Gniezno";"gnieźnieński";"wielkopolskie";9;9;4228;2298;865;144;280
300304;"gm. Kiszkowo";"gnieźnieński";"wielkopolskie";9;9;1379;1105;332;108;99
300305;"gm. Kłecko";"gnieźnieński";"wielkopolskie";11;11;1627;1670;469;122;127
300306;"gm. Łubowo";"gnieźnieński";"wielkopolskie";9;9;2090;1302;439;114;158
300307;"gm. Mieleszyn";"gnieźnieński";"wielkopolskie";7;7;834;837;208;46;79
300308;"gm. Niechanowo";"gnieźnieński";"wielkopolskie";6;6;1450;1399;357;98;109
300309;"gm. Trzemeszno";"gnieźnieński";"wielkopolskie";15;15;3080;2615;810;242;281
300310;"gm. Witkowo";"gnieźnieński";"wielkopolskie";14;14;3319;2780;728;228;265
302301;"m. Słupca";"słupecki";"wielkopolskie";8;8;3991;2473;548;156;214
302302;"gm. Lądek";"słupecki";"wielkopolskie";5;5;1187;1350;290;64;100
302303;"gm. Orchowo";"słupecki";"wielkopolskie";7;7;707;815;250;80;80
302304;"gm. Ostrowite";"słupecki";"wielkopolskie";8;8;901;1240;236;91;109
302305;"gm. Powidz";"słupecki";"wielkopolskie";3;3;708;527;172;25;58
302306;"gm. Słupca";"słupecki";"wielkopolskie";9;9;2110;2198;556;127;183
302307;"gm. Strzałkowo";"słupecki";"wielkopolskie";11;11;2445;2111;544;140;231
302308;"gm. Zagórów";"słupecki";"wielkopolskie";10;10;1641;1993;485;100;120
302501;"gm. Dominowo";"średzki";"wielkopolskie";3;3;955;586;208;48;58
302502;"gm. Krzykosy";"średzki";"wielkopolskie";8;8;1684;1465;508;108;150
302503;"gm. Nowe Miasto nad Wartą";"średzki";"wielkopolskie";6;6;1930;1791;630;135;191
302504;"gm. Środa Wielkopolska";"średzki";"wielkopolskie";31;31;10940;5049;2219;684;611
302505;"gm. Zaniemyśl";"średzki";"wielkopolskie";6;6;2139;1028;521;111;251
302601;"gm. Brodnica";"śremski";"wielkopolskie";6;6;1286;734;346;109;155
302602;"gm. Dolsk";"śremski";"wielkopolskie";8;8;1213;1120;386;119;283
302603;"gm. Książ Wielkopolski";"śremski";"wielkopolskie";6;6;1626;1583;496;126;270
302604;"gm. Śrem";"śremski";"wielkopolskie";27;27;11909;6426;2539;761;2020
303001;"gm. Kołaczkowo";"wrzesiński";"wielkopolskie";7;7;1279;1320;288;130;83
303002;"gm. Miłosław";"wrzesiński";"wielkopolskie";11;11;2409;2005;542;191;208
303003;"gm. Nekla";"wrzesiński";"wielkopolskie";4;4;2525;1283;504;177;193
303004;"gm. Pyzdry";"wrzesiński";"wielkopolskie";8;8;1425;1595;346;90;116
303005;"gm. Września";"wrzesiński";"wielkopolskie";39;39;15158;7755;2549;658;834
