"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KRAWCZYK Krystian Piotr - KW BEZPARTYJNI SAMORZĄDOWCY";"MAJDA Anna - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"GALEMBA Leszek Ryszard - KW PRAWO I SPRAWIEDLIWOŚĆ";"BILSKA Barbara - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
300901;"m. Koło";"kolski";"wielkopolskie";15;15;696;5271;4030;1020
300902;"gm. Babiak";"kolski";"wielkopolskie";5;5;224;1055;2132;436
300903;"gm. Chodów";"kolski";"wielkopolskie";4;4;93;356;860;166
300904;"gm. Dąbie";"kolski";"wielkopolskie";5;5;158;847;1972;258
300905;"gm. Grzegorzew";"kolski";"wielkopolskie";7;7;208;924;1517;295
300906;"gm. Kłodawa";"kolski";"wielkopolskie";11;11;350;1905;3078;874
300907;"gm. Koło";"kolski";"wielkopolskie";7;7;287;1587;1967;464
300908;"gm. Kościelec";"kolski";"wielkopolskie";4;4;235;1229;1941;348
300909;"gm. Olszówka";"kolski";"wielkopolskie";4;4;113;473;1333;220
300910;"gm. Osiek Mały";"kolski";"wielkopolskie";3;3;235;994;1773;317
300911;"gm. Przedecz";"kolski";"wielkopolskie";3;3;115;567;1137;243
301001;"gm. Golina";"koniński";"wielkopolskie";7;7;516;2576;2887;705
301002;"gm. Grodziec";"koniński";"wielkopolskie";4;4;174;884;1294;265
301003;"gm. Kazimierz Biskupi";"koniński";"wielkopolskie";11;11;521;2595;2671;634
301004;"gm. Kleczew";"koniński";"wielkopolskie";9;9;445;1699;2688;536
301005;"gm. Kramsk";"koniński";"wielkopolskie";12;12;434;2044;3166;655
301006;"gm. Krzymów";"koniński";"wielkopolskie";6;6;304;1463;2259;471
301007;"gm. Rychwał";"koniński";"wielkopolskie";7;7;395;1301;2305;447
301008;"gm. Rzgów";"koniński";"wielkopolskie";4;4;314;1353;1800;351
301009;"gm. Skulsk";"koniński";"wielkopolskie";9;9;237;851;1432;381
301010;"gm. Sompolno";"koniński";"wielkopolskie";7;7;339;1544;2981;555
301011;"gm. Stare Miasto";"koniński";"wielkopolskie";8;8;523;3128;2784;739
301012;"gm. Ślesin";"koniński";"wielkopolskie";12;12;524;2640;3675;855
301013;"gm. Wierzbinek";"koniński";"wielkopolskie";8;8;195;733;2130;342
301014;"gm. Wilczyn";"koniński";"wielkopolskie";7;7;252;909;1614;313
302701;"m. Turek";"turecki";"wielkopolskie";14;14;1006;7538;4683;1019
302702;"gm. Brudzew";"turecki";"wielkopolskie";9;9;287;1051;1622;267
302703;"gm. Dobra";"turecki";"wielkopolskie";7;7;284;1241;1418;231
302704;"gm. Kawęczyn";"turecki";"wielkopolskie";5;5;618;1008;981;152
302705;"gm. Malanów";"turecki";"wielkopolskie";4;4;401;1262;1408;331
302706;"gm. Przykona";"turecki";"wielkopolskie";3;3;270;892;1156;194
302707;"gm. Tuliszków";"turecki";"wielkopolskie";6;6;366;2062;2520;431
302708;"gm. Turek";"turecki";"wielkopolskie";11;11;589;2649;1942;536
302709;"gm. Władysławów";"turecki";"wielkopolskie";7;7;327;1524;2304;338
306201;"Konin";"Konin";"wielkopolskie";47;47;2717;19281;13994;3438
