"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KRYJOM Sławomir Marcin - KW BEZPARTYJNI SAMORZĄDOWCY";"SŁOWIŃSKA Dorota - KW PRAWO I SPRAWIEDLIWOŚĆ";"GBIORCZYK Adam Mieczysław - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"ZIEMNIAK Wojciech Stanisław - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
300401;"gm. Borek Wielkopolski";"gostyński";"wielkopolskie";8;8;323;1554;472;1282
300402;"gm. Gostyń";"gostyński";"wielkopolskie";29;29;1430;4845;1919;6949
300403;"gm. Krobia";"gostyński";"wielkopolskie";16;16;624;2785;816;2292
300404;"gm. Pępowo";"gostyński";"wielkopolskie";10;10;321;1416;446;1062
300405;"gm. Piaski";"gostyński";"wielkopolskie";12;12;395;1791;582;1749
300406;"gm. Pogorzela";"gostyński";"wielkopolskie";6;6;225;972;314;819
300407;"gm. Poniec";"gostyński";"wielkopolskie";9;9;413;1529;478;1336
301101;"m. Kościan";"kościański";"wielkopolskie";14;14;948;3504;924;9227
301102;"gm. Czempiń";"kościański";"wielkopolskie";14;14;476;1792;624;4028
301103;"gm. Kościan";"kościański";"wielkopolskie";12;12;684;2617;816;4900
301104;"gm. Krzywiń";"kościański";"wielkopolskie";18;18;345;2524;499;2029
301105;"gm. Śmigiel";"kościański";"wielkopolskie";22;22;711;3175;978;4333
301301;"gm. Krzemieniewo";"leszczyński";"wielkopolskie";8;8;434;1696;504;1708
301302;"gm. Lipno";"leszczyński";"wielkopolskie";7;7;528;1331;574;2741
301303;"gm. Osieczna";"leszczyński";"wielkopolskie";11;11;581;1705;553;2363
301304;"gm. Rydzyna";"leszczyński";"wielkopolskie";12;12;643;1622;655;2876
301305;"gm. Święciechowa";"leszczyński";"wielkopolskie";4;4;421;1287;544;2374
301306;"gm. Wijewo";"leszczyński";"wielkopolskie";2;2;245;703;291;815
301307;"gm. Włoszakowice";"leszczyński";"wielkopolskie";6;6;664;1645;625;2426
302201;"gm. Bojanowo";"rawicki";"wielkopolskie";8;8;422;1326;491;1950
302202;"gm. Jutrosin";"rawicki";"wielkopolskie";9;9;362;1541;506;1189
302203;"gm. Miejska Górka";"rawicki";"wielkopolskie";12;12;515;1975;686;1789
302204;"gm. Pakosław";"rawicki";"wielkopolskie";7;7;252;1179;372;891
302205;"gm. Rawicz";"rawicki";"wielkopolskie";27;27;1465;4698;1882;8881
306301;"Leszno";"Leszno";"wielkopolskie";34;34;2874;7584;2858;21452
