"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MICHALAK Manuela Anna - KW BEZPARTYJNI SAMORZĄDOWCY";"MIKOŁAJCZYK Łukasz - KW PRAWO I SPRAWIEDLIWOŚĆ";"PIECHOWIAK Piotr - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"MATECKA Ewa Jolanta - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
300801;"gm. Baranów";"kępiński";"wielkopolskie";9;9;404;1682;525;2019
300802;"gm. Bralin";"kępiński";"wielkopolskie";7;7;252;1162;399;1562
300803;"gm. Kępno";"kępiński";"wielkopolskie";18;18;1021;4389;1186;6773
300804;"gm. Łęka Opatowska";"kępiński";"wielkopolskie";4;4;286;1192;371;1014
300805;"gm. Perzów";"kępiński";"wielkopolskie";5;5;159;696;233;866
300806;"gm. Rychtal";"kępiński";"wielkopolskie";5;5;142;799;238;746
300807;"gm. Trzcinica";"kępiński";"wielkopolskie";6;6;209;1205;338;974
301201;"m. Sulmierzyce";"krotoszyński";"wielkopolskie";1;1;178;605;159;525
301202;"gm. Kobylin";"krotoszyński";"wielkopolskie";10;10;399;1838;482;1302
301203;"gm. Koźmin Wielkopolski";"krotoszyński";"wielkopolskie";9;9;654;2704;738;2576
301204;"gm. Krotoszyn";"krotoszyński";"wielkopolskie";35;35;2131;7747;2212;9551
301205;"gm. Rozdrażew";"krotoszyński";"wielkopolskie";7;7;302;1406;308;680
301206;"gm. Zduny";"krotoszyński";"wielkopolskie";8;8;377;1430;413;1594
301701;"m. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";43;43;2585;11333;3022;23317
301702;"gm. Nowe Skalmierzyce";"ostrowski";"wielkopolskie";13;13;823;3323;886;3531
301703;"gm. Odolanów";"ostrowski";"wielkopolskie";18;18;600;3799;877;2599
301704;"gm. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";25;25;889;4255;1249;4371
301705;"gm. Przygodzice";"ostrowski";"wielkopolskie";12;12;533;2782;727;2947
301706;"gm. Raszków";"ostrowski";"wielkopolskie";15;15;561;2871;626;2257
301707;"gm. Sieroszewice";"ostrowski";"wielkopolskie";13;13;493;2303;599;1608
301708;"gm. Sośnie";"ostrowski";"wielkopolskie";8;8;237;1557;446;1012
301801;"gm. Czajków";"ostrzeszowski";"wielkopolskie";2;2;147;705;156;425
301802;"gm. Doruchów";"ostrzeszowski";"wielkopolskie";8;8;311;1237;326;901
301803;"gm. Grabów nad Prosną";"ostrzeszowski";"wielkopolskie";13;13;429;1651;520;1603
301804;"gm. Kobyla Góra";"ostrzeszowski";"wielkopolskie";12;12;331;1084;414;1484
301805;"gm. Kraszewice";"ostrzeszowski";"wielkopolskie";5;5;197;805;197;699
301806;"gm. Mikstat";"ostrzeszowski";"wielkopolskie";7;7;244;1644;329;890
301807;"gm. Ostrzeszów";"ostrzeszowski";"wielkopolskie";21;21;1174;3976;1225;6499
