"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"JANCZAR Urszula - KW BEZPARTYJNI SAMORZĄDOWCY";"WOJTYŁA Andrzej Franciszek - KW PRAWO I SPRAWIEDLIWOŚĆ";"RATAJCZYK Arkadiusz Stefan - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"PĘCHERZ Janusz Andrzej - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"JANKOWSKI Zdzisław Kazimierz - KW NORMALNY KRAJ";"BOROWIAK Dawid - KWW NIEZALEŻNY KANDYDAT DAWID BOROWIAK";"SAPIŃSKI Grzegorz Marcin - KWW WIELKOPOLSKA INICJATYWA SENACKA"
300601;"gm. Jaraczewo";"jarociński";"wielkopolskie";14;14;357;1969;364;1120;104;236;57
300602;"gm. Jarocin";"jarociński";"wielkopolskie";25;25;1946;8441;1830;10648;416;1133;297
300603;"gm. Kotlin";"jarociński";"wielkopolskie";12;12;293;1537;335;1073;75;186;59
300604;"gm. Żerków";"jarociński";"wielkopolskie";12;12;419;2507;472;1435;133;341;68
300701;"gm. Blizanów";"kaliski";"wielkopolskie";8;8;616;2253;328;1677;52;296;75
300702;"gm. Brzeziny";"kaliski";"wielkopolskie";11;11;202;1512;300;889;38;175;70
300703;"gm. Ceków-Kolonia";"kaliski";"wielkopolskie";7;7;138;1054;182;920;39;102;50
300704;"gm. Godziesze Wielkie";"kaliski";"wielkopolskie";15;15;318;2446;405;1874;50;359;89
300705;"gm. Koźminek";"kaliski";"wielkopolskie";12;12;256;1946;362;1118;50;208;66
300706;"gm. Lisków";"kaliski";"wielkopolskie";7;7;153;1318;203;795;52;113;32
300707;"gm. Mycielin";"kaliski";"wielkopolskie";6;6;163;1268;188;673;41;120;46
300708;"gm. Opatówek";"kaliski";"wielkopolskie";9;9;393;2667;473;2115;53;395;117
300709;"gm. Stawiszyn";"kaliski";"wielkopolskie";7;7;279;1639;307;1271;45;168;54
300710;"gm. Szczytniki";"kaliski";"wielkopolskie";7;7;248;2456;320;914;63;208;50
300711;"gm. Żelazków";"kaliski";"wielkopolskie";8;8;330;2456;393;1754;66;310;95
302001;"gm. Chocz";"pleszewski";"wielkopolskie";7;7;175;1168;246;720;38;115;22
302002;"gm. Czermin";"pleszewski";"wielkopolskie";7;7;185;1328;205;678;46;133;27
302003;"gm. Dobrzyca";"pleszewski";"wielkopolskie";11;11;279;1764;334;1371;93;234;64
302004;"gm. Gizałki";"pleszewski";"wielkopolskie";6;6;149;1236;201;553;57;139;21
302005;"gm. Gołuchów";"pleszewski";"wielkopolskie";11;11;374;2603;449;2145;78;383;71
302006;"gm. Pleszew";"pleszewski";"wielkopolskie";30;30;955;5511;1146;7040;217;699;161
306101;"Kalisz";"Kalisz";"wielkopolskie";56;56;2621;14941;2675;28729;371;3821;1307
