"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"SZYMAŃSKA Halina Barbara - KW PRAWO I SPRAWIEDLIWOŚĆ";"KOCHAN Magdalena Maria - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
320402;"gm. Goleniów";"goleniowski";"zachodniopomorskie";31;31;6268;13609
320403;"gm. Maszewo";"goleniowski";"zachodniopomorskie";11;11;1730;2395
320404;"gm. Nowogard";"goleniowski";"zachodniopomorskie";20;20;4198;7782
320405;"gm. Osina";"goleniowski";"zachodniopomorskie";4;4;607;824
320406;"gm. Przybiernów";"goleniowski";"zachodniopomorskie";3;3;994;1306
320407;"gm. Stepnica";"goleniowski";"zachodniopomorskie";4;4;763;1348
320501;"gm. Brojce";"gryficki";"zachodniopomorskie";5;5;711;837
320502;"gm. Gryfice";"gryficki";"zachodniopomorskie";22;22;4001;7107
320503;"gm. Karnice";"gryficki";"zachodniopomorskie";4;4;926;985
320504;"gm. Płoty";"gryficki";"zachodniopomorskie";12;12;1643;2195
320507;"gm. Rewal";"gryficki";"zachodniopomorskie";4;4;857;1939
320508;"gm. Trzebiatów";"gryficki";"zachodniopomorskie";12;12;2749;4549
320601;"gm. Banie";"gryfiński";"zachodniopomorskie";7;7;1231;1407
320602;"gm. Cedynia";"gryfiński";"zachodniopomorskie";3;3;670;1199
320603;"gm. Chojna";"gryfiński";"zachodniopomorskie";10;10;2591;3827
320604;"gm. Gryfino";"gryfiński";"zachodniopomorskie";32;32;5830;10345
320605;"gm. Mieszkowice";"gryfiński";"zachodniopomorskie";7;7;1232;1882
320606;"gm. Moryń";"gryfiński";"zachodniopomorskie";5;5;834;1149
320607;"gm. Stare Czarnowo";"gryfiński";"zachodniopomorskie";6;6;894;1051
320608;"gm. Trzcińsko-Zdrój";"gryfiński";"zachodniopomorskie";7;7;1046;1373
320609;"gm. Widuchowa";"gryfiński";"zachodniopomorskie";6;6;1083;1314
320701;"gm. Dziwnów";"kamieński";"zachodniopomorskie";5;5;816;1980
320702;"gm. Golczewo";"kamieński";"zachodniopomorskie";4;4;1117;1606
320703;"gm. Kamień Pomorski";"kamieński";"zachodniopomorskie";13;13;2395;4746
320704;"gm. Międzyzdroje";"kamieński";"zachodniopomorskie";6;6;1122;2503
320705;"gm. Świerzno";"kamieński";"zachodniopomorskie";6;6;671;1168
320706;"gm. Wolin";"kamieński";"zachodniopomorskie";16;16;2233;3489
321001;"gm. Barlinek";"myśliborski";"zachodniopomorskie";19;19;3332;5758
321002;"gm. Boleszkowice";"myśliborski";"zachodniopomorskie";4;4;453;877
321003;"gm. Dębno";"myśliborski";"zachodniopomorskie";17;17;3252;6235
321004;"gm. Myślibórz";"myśliborski";"zachodniopomorskie";25;25;3398;5542
321005;"gm. Nowogródek Pomorski";"myśliborski";"zachodniopomorskie";5;5;577;953
321201;"gm. Bielice";"pyrzycki";"zachodniopomorskie";2;2;724;730
321202;"gm. Kozielice";"pyrzycki";"zachodniopomorskie";3;3;581;544
321203;"gm. Lipiany";"pyrzycki";"zachodniopomorskie";4;4;1126;1383
321204;"gm. Przelewice";"pyrzycki";"zachodniopomorskie";8;8;1055;1145
321205;"gm. Pyrzyce";"pyrzycki";"zachodniopomorskie";14;14;4235;5188
321206;"gm. Warnice";"pyrzycki";"zachodniopomorskie";4;4;867;694
321401;"m. Stargard";"stargardzki";"zachodniopomorskie";37;37;11491;23749
321402;"gm. Chociwel";"stargardzki";"zachodniopomorskie";9;9;1205;1676
321403;"gm. Dobrzany";"stargardzki";"zachodniopomorskie";5;5;1025;1037
321404;"gm. Dolice";"stargardzki";"zachodniopomorskie";12;12;1436;1762
321405;"gm. Ińsko";"stargardzki";"zachodniopomorskie";3;3;655;888
321406;"gm. Kobylanka";"stargardzki";"zachodniopomorskie";5;5;1119;2704
321408;"gm. Marianowo";"stargardzki";"zachodniopomorskie";4;4;713;754
321409;"gm. Stara Dąbrowa";"stargardzki";"zachodniopomorskie";5;5;805;836
321410;"gm. Stargard";"stargardzki";"zachodniopomorskie";20;20;2702;4804
321411;"gm. Suchań";"stargardzki";"zachodniopomorskie";4;4;889;932
321801;"gm. Dobra";"łobeski";"zachodniopomorskie";4;4;825;858
321802;"gm. Łobez";"łobeski";"zachodniopomorskie";11;11;2396;3872
321803;"gm. Radowo Małe";"łobeski";"zachodniopomorskie";4;4;663;846
321804;"gm. Resko";"łobeski";"zachodniopomorskie";8;8;1330;1904
321805;"gm. Węgorzyno";"łobeski";"zachodniopomorskie";6;6;1362;1577
326301;"Świnoujście";"Świnoujście";"zachodniopomorskie";27;27;6955;15806
