"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"AŚCIUKIEWICZ Barbara Maria - KW PRAWO I SPRAWIEDLIWOŚĆ";"NAGÓRSKI Mariusz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"GROMEK Janusz - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
320101;"m. Białogard";"białogardzki";"zachodniopomorskie";17;17;3383;1136;6737
320102;"gm. Białogard";"białogardzki";"zachodniopomorskie";7;7;1297;457;1563
320103;"gm. Karlino";"białogardzki";"zachodniopomorskie";6;6;1351;434;1912
320104;"gm. Tychowo";"białogardzki";"zachodniopomorskie";6;6;1126;455;1543
320201;"gm. Bierzwnik";"choszczeński";"zachodniopomorskie";5;5;888;307;1010
320202;"gm. Choszczno";"choszczeński";"zachodniopomorskie";26;26;3443;1156;5757
320203;"gm. Drawno";"choszczeński";"zachodniopomorskie";8;8;831;330;1073
320204;"gm. Krzęcin";"choszczeński";"zachodniopomorskie";7;7;711;204;701
320205;"gm. Pełczyce";"choszczeński";"zachodniopomorskie";12;12;1385;499;1438
320206;"gm. Recz";"choszczeński";"zachodniopomorskie";5;5;981;345;1008
320301;"gm. Czaplinek";"drawski";"zachodniopomorskie";8;8;1709;873;2803
320302;"gm. Drawsko Pomorskie";"drawski";"zachodniopomorskie";20;20;2442;1066;4608
320303;"gm. Kalisz Pomorski";"drawski";"zachodniopomorskie";10;10;1079;533;1554
320305;"gm. Wierzchowo";"drawski";"zachodniopomorskie";7;7;846;405;1049
320306;"gm. Złocieniec";"drawski";"zachodniopomorskie";18;18;2706;1064;3800
320801;"m. Kołobrzeg";"kołobrzeski";"zachodniopomorskie";24;24;8214;2164;19156
320802;"gm. Dygowo";"kołobrzeski";"zachodniopomorskie";8;8;907;296;1441
320803;"gm. Gościno";"kołobrzeski";"zachodniopomorskie";7;7;798;309;1359
320804;"gm. Kołobrzeg";"kołobrzeski";"zachodniopomorskie";10;10;1779;555;4067
320805;"gm. Rymań";"kołobrzeski";"zachodniopomorskie";7;7;691;171;927
320806;"gm. Siemyśl";"kołobrzeski";"zachodniopomorskie";4;4;654;227;1111
320807;"gm. Ustronie Morskie";"kołobrzeski";"zachodniopomorskie";3;3;948;273;1663
321601;"m. Świdwin";"świdwiński";"zachodniopomorskie";8;8;2210;778;4308
321602;"gm. Brzeżno";"świdwiński";"zachodniopomorskie";4;4;536;194;539
321603;"gm. Połczyn-Zdrój";"świdwiński";"zachodniopomorskie";11;11;2886;843;3748
321604;"gm. Rąbino";"świdwiński";"zachodniopomorskie";6;6;681;220;606
321605;"gm. Sławoborze";"świdwiński";"zachodniopomorskie";5;5;513;242;927
321606;"gm. Świdwin";"świdwiński";"zachodniopomorskie";11;11;1018;393;1054
321701;"m. Wałcz";"wałecki";"zachodniopomorskie";13;13;3487;1404;8062
321702;"gm. Człopa";"wałecki";"zachodniopomorskie";4;4;787;351;1045
321703;"gm. Mirosławiec";"wałecki";"zachodniopomorskie";7;7;767;357;1413
321704;"gm. Tuczno";"wałecki";"zachodniopomorskie";6;6;863;453;770
321705;"gm. Wałcz";"wałecki";"zachodniopomorskie";16;16;2037;938;3088
