"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KEMPINSKI Radosław Grzegorz - KW PRAWO I SPRAWIEDLIWOŚĆ";"JAROCKA Krystyna Anna - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KOBIAK Andrzej - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
40301;"gm. Białe Błota";"bydgoski";"kujawsko-pomorskie";16;16;3243;1899;9492
40302;"gm. Dąbrowa Chełmińska";"bydgoski";"kujawsko-pomorskie";11;11;1445;683;2264
40303;"gm. Dobrcz";"bydgoski";"kujawsko-pomorskie";13;13;2090;1166;3713
40304;"gm. Koronowo";"bydgoski";"kujawsko-pomorskie";27;27;4156;1861;6358
40305;"gm. Nowa Wieś Wielka";"bydgoski";"kujawsko-pomorskie";10;10;1475;917;3399
40306;"gm. Osielsko";"bydgoski";"kujawsko-pomorskie";14;14;2042;1221;7561
40307;"gm. Sicienko";"bydgoski";"kujawsko-pomorskie";14;14;2052;809;2900
40308;"gm. Solec Kujawski";"bydgoski";"kujawsko-pomorskie";12;12;2233;1244;5084
41401;"gm. Bukowiec";"świecki";"kujawsko-pomorskie";6;6;1070;419;858
41402;"gm. Dragacz";"świecki";"kujawsko-pomorskie";12;12;1156;572;1607
41403;"gm. Drzycim";"świecki";"kujawsko-pomorskie";6;6;1091;430;867
41404;"gm. Jeżewo";"świecki";"kujawsko-pomorskie";8;8;1564;648;1548
41405;"gm. Lniano";"świecki";"kujawsko-pomorskie";5;5;959;420;777
41406;"gm. Nowe";"świecki";"kujawsko-pomorskie";11;11;1667;688;2067
41407;"gm. Osie";"świecki";"kujawsko-pomorskie";6;6;950;439;1310
41408;"gm. Pruszcz";"świecki";"kujawsko-pomorskie";16;16;1774;856;2273
41409;"gm. Świecie";"świecki";"kujawsko-pomorskie";27;27;5023;2288;9386
41410;"gm. Świekatowo";"świecki";"kujawsko-pomorskie";8;8;734;367;800
41411;"gm. Warlubie";"świecki";"kujawsko-pomorskie";8;8;1181;511;1177
41601;"gm. Cekcyn";"tucholski";"kujawsko-pomorskie";11;11;1450;625;1586
41602;"gm. Gostycyn";"tucholski";"kujawsko-pomorskie";6;6;936;438;1036
41603;"gm. Kęsowo";"tucholski";"kujawsko-pomorskie";7;7;912;430;780
41604;"gm. Lubiewo";"tucholski";"kujawsko-pomorskie";8;8;1342;498;1262
41605;"gm. Śliwice";"tucholski";"kujawsko-pomorskie";7;7;1419;470;1195
41606;"gm. Tuchola";"tucholski";"kujawsko-pomorskie";21;21;3595;1490;4997
46101;"Bydgoszcz";"Bydgoszcz";"kujawsko-pomorskie";208;208;48886;21321;117527
