Nr okr.;Siedziba OKW;L. obw.;Liczba wyborców;Otrzymane karty;Niewykorzystane karty;Wydane karty;Liczba wyborców głosujących przez pełnomocnika;Liczba wyborców głosujących na podstawie zaświadczenia;Pakiety wyborcze;Koperty zwrotne;Koperty  bez oświadczenia;Niepodpisane oświadczenie;Koperty zwrotne bez koperty na kartę do głosowania;Niezaklejona koperta na kartę do głosowania;Koperty na kartę do głosowania wrzucone do urny;Karty wyjęte z urny;Karty wyjęte z kopert na karty do głosowania;Karty nieważne;Karty ważne;Głosy nieważne;w tym: z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list;w tym: z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata;w tym: z powodu postawienia znaku „x” wyłącznie obok nazwiska kandydata z listy której rejestracja została unieważniona;Głosy ważne;1 - Komitet Wyborczy Prawo i Sprawiedliwość;2 - Komitet Wyborczy Platforma Obywatelska RP;3 - Komitet Wyborczy Partia Razem;4 - Komitet Wyborczy KORWiN;5 - Komitet Wyborczy Polskie Stronnictwo Ludowe;6 - Koalicyjny Komitet Wyborczy Zjednoczona Lewica SLD+TR+PPS+UP+Zieloni;7 - Komitet Wyborczy Wyborców „Kukiz'15”;8 - Komitet Wyborczy Nowoczesna Ryszarda Petru;9 - Komitet Wyborczy Wyborców JOW Bezpartyjni;10 - Komitet Wyborczy Wyborców Zbigniewa Stonogi;11 - Komitet Wyborczy Wyborców  Ruch Społeczny Rzeczypospolitej Polskiej;12 - Komitet Wyborczy Wyborców Zjednoczeni dla Śląska;13 - Komitet Wyborczy Samoobrona;14 - Komitet Wyborczy Wyborców Grzegorza Brauna „Szczęść Boże!”;15 - Komitet Wyborczy Kongres Nowej Prawicy;16 - Komitet Wyborczy Wyborców Mniejszość Niemiecka;16 - Komitet Wyborczy Wyborców Obywatele do Parlamentu
1;Legnica;723;787416;604430;236726;367699;181;2862;185;178;3;-;-;-;175;367811;175;15;367796;11017;8057;2740;-;356779;127370;90060;13003;15427;13886;37298;34229;25506;;;;;;;;;
2;Wałbrzych;535;539545;412999;171140;241857;212;2695;131;124;5;1;2;-;116;241935;116;75;241860;7765;5550;1855;-;234095;72929;76424;7984;10075;7448;20517;20634;15544;2540;;;;;;;;
3;Wrocław;713;988061;747929;213715;534226;251;7658;477;458;15;-;-;-;443;534492;443;119;534373;11002;7316;3423;-;523371;163323;159582;22059;27341;13604;31932;45726;55756;;2779;;;;1269;;;
4;Bydgoszcz;842;804077;611440;226666;384763;215;2786;250;240;8;1;3;-;229;384951;229;7;384944;10667;7800;2577;-;374277;113024;110948;14062;17002;22701;37583;29080;27334;;2543;;;;;;;
5;Toruń;825;832502;640432;266665;373762;259;3481;137;131;4;-;1;1;125;373834;125;11;373823;11313;8020;2944;-;362510;121703;93432;13227;14134;24476;39003;30159;23563;;2041;;;772;;;;
6;Lublin;989;959177;737168;238615;498733;388;4231;237;231;7;-;-;-;224;498858;224;9;498849;11129;7860;2908;-;487720;232014;80892;13395;24376;37733;29172;45448;22158;;;599;;580;1353;;;
7;Chełm;923;771648;595109;245620;349486;352;2414;117;110;5;-;-;-;105;349542;105;22;349520;9834;7105;2515;-;339686;163122;41823;8116;14835;38689;24161;35567;12745;;;;;628;;;;
8;Zielona Góra;720;800699;614097;256796;357298;202;2549;175;164;3;2;4;1;154;357392;154;42;357350;11132;8172;2733;-;346218;97877;97676;13825;17274;17743;34695;30284;34586;;2258;;;;;;;
9;Łódź;534;642203;504683;140248;364428;194;2949;259;248;11;3;-;5;230;364482;230;88;364394;5330;3366;1803;-;359064;107350;112333;16627;17163;9710;37615;25992;32274;;;;;;;;;
10;Piotrków Trybunalski;522;586015;448178;153616;294558;220;1363;79;73;4;-;1;-;68;294576;68;47;294529;8808;6537;1994;-;285721;134134;44173;8747;11160;21364;21352;28808;15983;;;;;;;;;
11;Sieradz;802;786549;586638;205441;381193;243;2009;135;129;6;-;-;-;123;381239;123;34;381205;11460;7771;3355;-;369745;147623;78314;13077;15171;29044;30256;32973;19681;;1905;;;712;989;;;
12;Kraków I (południe);442;514765;393538;113315;280218;182;1387;186;183;3;1;1;-;179;280333;179;2;280331;8754;6973;1480;-;271577;133213;55454;8840;12089;8226;14473;23551;15731;;;;;;;;;
13;Kraków II (północ);838;938869;721341;169331;551861;340;10131;536;523;15;14;-;1;506;552207;506;75;552132;9364;6058;2928;-;542768;209607;133558;21053;34446;14644;34643;39379;52822;;;;;;1372;1244;;
14;Nowy Sącz;628;614295;470611;150094;320515;242;4539;133;128;2;-;-;-;126;320559;126;-;320559;10098;7387;2472;-;310461;188010;43309;6627;13379;12929;7924;24318;11468;;1606;;;;;891;;
15;Tarnów;559;579603;444916;144437;300476;227;1745;150;146;3;2;-;-;141;300553;141;10;300543;8902;6534;2069;-;291641;151623;42887;7082;13766;23552;9933;28005;13233;;;;;;906;654;;
16;Płock;686;671219;513372;203120;310251;218;1544;97;93;1;1;-;-;91;310269;91;12;310257;10055;7148;2731;-;300202;131431;49353;10062;12214;31994;24440;25257;15451;;;;;;;;;
17;Radom;532;574038;438720;155245;283469;209;1556;105;98;2;-;-;-;96;283500;96;14;283486;8144;5766;2158;-;275342;130758;48332;7203;10770;25933;13258;23149;13233;;2050;;;;;656;;
18;Siedlce;823;763101;583062;197279;385783;292;2414;149;144;7;1;-;-;136;385858;136;5;385853;10613;7023;3267;-;375240;191733;50858;9964;16332;38396;16327;31378;17386;1045;;582;;;1239;;;
19;Warszawa I (miasto);1137;1561289;1255857;179108;1076664;501;24047;36989;31815;1775;276;28;57;30068;1106006;30229;577;1105429;10214;5753;3827;-;1095215;327342;301672;60663;67700;7882;93666;84937;146629;;;2760;;;;;;1964
20;Warszawa II (okręg);668;832675;642015;142518;499446;259;4911;384;375;13;-;1;-;361;499621;361;45;499576;8960;6022;2641;-;490616;190355;123227;18895;23586;18666;27774;35418;49098;;3597;;;;;;;
21;Opole;900;808931;622543;273746;348791;216;1957;200;195;15;3;2;1;177;348894;177;51;348843;10595;7165;2932;-;338248;93926;88731;10202;13346;12464;22841;42533;24152;1772;;;;;751;;27530;
22;Krosno;823;710602;547929;210641;337285;405;2893;167;160;8;-;1;-;151;337363;151;36;337327;10462;6839;2839;537;326865;174900;44971;7595;13984;23805;14893;29919;12981;2289;1528;;;;;;;
23;Rzeszów;986;988577;760972;241400;519572;409;2986;173;166;7;2;-;1;156;519628;156;8;519620;12363;8465;3620;-;507257;284642;66516;11623;25163;23667;22409;47071;21106;;2919;;;;1363;778;;
24;Białystok;961;947710;732265;285878;446385;369;2971;194;184;13;-;1;-;171;446419;171;78;446341;10973;6659;3009;1115;435368;197575;72894;11258;20297;35116;32015;39509;23361;;2088;;;626;;629;;
25;Gdańsk;657;830798;636728;200219;436461;208;5723;326;303;7;1;2;1;293;436642;293;17;436625;9494;6451;2729;-;427131;126466;148305;16992;21366;12904;28168;30536;39184;;3210;;;;;;;
26;Gdynia;796;936485;718890;238732;480131;236;4340;337;323;20;1;1;2;300;480326;299;92;480234;13526;9321;3868;-;466708;145698;156147;18918;20677;15064;30973;37410;38344;;3477;;;;;;;
27;Bielsko-Biała;488;612348;477658;132617;345036;227;2930;236;229;4;2;-;3;221;345113;221;27;345086;7798;5344;2274;-;337288;136330;79506;12557;15788;11533;22122;31570;27882;;;;;;;;;
28;Częstochowa;442;486784;371765;129260;242492;131;1434;164;157;11;-;1;1;144;242584;144;6;242578;5944;4212;1571;-;236634;84773;49580;8625;10111;11799;26305;27521;15942;;1378;;;;600;;;
29;Gliwice;460;611771;469792;169394;300398;132;1405;206;197;26;-;-;1;170;300506;169;1;300505;6838;4606;2056;-;293667;89584;85130;12181;14949;7342;21163;35793;26122;;;;;;1403;;;
30;Rybnik;436;574191;438971;141470;297490;124;1012;157;149;3;-;2;-;144;297573;144;5;297568;7605;5365;1928;-;289963;114799;70188;9669;13136;5197;17201;32794;18341;;;;7928;;710;;;
31;Katowice;558;777770;599927;180785;419114;175;2323;430;411;21;2;1;-;387;419420;387;43;419377;8187;5484;2471;-;411190;135367;116658;16786;22803;4064;27837;41344;35591;;;;10740;;;;;
32;Sosnowiec;439;564891;430794;140445;290348;105;1286;163;156;11;2;-;-;143;290436;143;6;290430;5787;4061;1519;-;284643;84410;72755;12652;13682;6687;39774;29161;25522;;;;;;;;;
33;Kielce;983;1031221;794448;311674;482772;480;3637;176;163;9;1;-;-;153;482800;153;6;482794;14104;9745;3898;-;468690;200652;80866;13106;19395;44574;36880;44115;23360;2344;1792;;;448;1158;;;
34;Elbląg;460;503061;386108;178389;207717;126;1428;119;109;4;-;-;-;105;207784;105;26;207758;7396;5565;1708;-;200362;63236;60359;7608;9480;13411;15407;16514;11668;1426;1253;;;;;;;
35;Olsztyn;673;636139;490345;216076;274262;164;2924;189;170;10;-;1;-;165;274385;165;8;274377;8211;5738;2150;-;266166;80970;72055;9948;13584;22458;23312;23888;18141;;1810;;;;;;;
36;Kalisz;701;797144;608886;232149;376737;177;1624;170;164;4;2;1;-;157;376828;156;3;376825;13641;9581;3730;-;363184;115668;89668;11497;15422;39874;32047;28996;25557;1973;1982;;;500;;;;
37;Konin;528;617224;469610;181782;287819;149;1263;161;152;7;4;1;1;139;287896;139;8;287888;10504;7464;2721;-;277384;103781;56111;11032;11061;19027;32649;24486;19237;;;;;;;;;
38;Piła;525;610758;465076;183749;281325;175;1453;102;99;4;-;-;-;95;281373;95;2;281371;11098;7962;2671;-;270273;73665;83845;10591;11004;20712;24723;24359;18859;;2515;;;;;;;
39;Poznań;476;692746;532389;115266;417078;171;6380;464;424;12;-;-;4;408;417260;408;50;417210;7324;4923;2145;-;409886;97975;146141;18854;19548;7809;33080;24825;59387;2267;;;;;;;;
40;Koszalin;469;515403;394987;170152;224830;136;4258;172;154;15;-;-;-;139;224913;139;29;224884;7867;5969;1738;-;217017;62032;65262;8466;9672;8972;24697;20428;17488;;;;;;;;;
41;Szczecin;657;826850;628823;238025;390770;229;4204;321;302;10;-;-;-;292;390912;292;27;390885;10386;7200;2947;-;380499;110697;121479;15678;20291;14776;32584;32030;32964;;;;;;;;;
