"Siedziba OKW";"Numer okręgu";"Liczba mandatów";"Liczba list";"Liczba kandydatów";"Mieszkańcy";"Wyborcy";"Opis granic"
"Legnica";"1";"12";"6";"142";"927450";"752171";"część województwa dolnośląskiego  obejmująca obszary powiatów:  bolesławiecki, głogowski, jaworski, jeleniogórski, kamiennogórski, legnicki, lubański, lubiński, lwówecki, polkowicki, zgorzelecki, złotoryjski  oraz miast na prawach powiatu:  Jelenia Góra, Legnica"
"Wałbrzych";"2";"8";"6";"94";"616381";"509179";"część województwa dolnośląskiego  obejmująca obszary powiatów:  dzierżoniowski, kłodzki, świdnicki, wałbrzyski, ząbkowicki  oraz miasta na prawach powiatu:  Wałbrzych"
"Wrocław";"3";"14";"6";"167";"1201333";"993744";"część województwa dolnośląskiego  obejmująca obszary powiatów:  górowski, milicki, oleśnicki, oławski, strzeliński, średzki, trzebnicki, wołowski, wrocławski  oraz miasta na prawach powiatu:  Wrocław"
"Bydgoszcz";"4";"12";"6";"137";"962756";"776937";"część województwa kujawsko-pomorskiego obejmująca obszary powiatów: bydgoski, inowrocławski, mogileński, nakielski, sępoleński, świecki, tucholski, żniński oraz miasta na prawach powiatu: Bydgoszcz"
"Toruń";"5";"13";"6";"147";"1004212";"806830";"część województwa kujawsko-pomorskiego obejmująca obszary powiatów: aleksandrowski, brodnicki, chełmiński, golubsko-dobrzyński, grudziądzki, lipnowski, radziejowski, rypiński, toruński, wąbrzeski, włocławski oraz miast na prawach powiatu: Grudziądz, Toruń, Włocławek"
"Lublin";"6";"15";"6";"178";"1162325";"934842";"część województwa lubelskiego obejmująca obszary powiatów: janowski, kraśnicki, lubartowski, lubelski, łęczyński, łukowski, opolski, puławski, rycki, świdnicki oraz miasta na prawach powiatu: Lublin"
"Chełm";"7";"12";"6";"137";"921533";"744316";"część województwa lubelskiego obejmująca obszary powiatów: bialski, biłgorajski, chełmski, hrubieszowski, krasnostawski, parczewski, radzyński, tomaszowski, włodawski, zamojski oraz miast na prawach powiatu: Biała Podlaska, Chełm, Zamość"
"Zielona Góra";"8";"12";"5";"120";"966936";"774572";"województwo lubuskie"
"Łódź";"9";"10";"5";"99";"727012";"608784";"część województwa łódzkiego obejmująca obszary powiatów: brzeziński, łódzki wschodni oraz miasta na prawach powiatu: Łódź"
"Piotrków Trybunalski";"10";"9";"5";"89";"707006";"565695";"część województwa łódzkiego obejmująca obszary powiatów: bełchatowski, opoczyński, piotrkowski, radomszczański, rawski, skierniewicki, tomaszowski oraz miast na prawach powiatu: Piotrków Trybunalski, Skierniewice"
"Sieradz";"11";"12";"6";"142";"938713";"764585";"część województwa łódzkiego obejmująca obszary powiatów: kutnowski, łaski, łęczycki, łowicki, pabianicki, pajęczański, poddębicki, sieradzki, wieluński, wieruszowski, zduńskowolski, zgierski"
"Kraków";"12";"8";"5";"80";"639580";"506754";"część województwa małopolskiego obejmująca obszary powiatów: chrzanowski, myślenicki, oświęcimski, suski, wadowicki"
"Kraków";"13";"14";"7";"185";"1142182";"942910";"część województwa małopolskiego obejmująca obszary powiatów: krakowski, miechowski, olkuski oraz miasta na prawach powiatu: Kraków"
