"Numer okręgu";"Nazwa";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"KOMITET WYBORCZY AKCJA ZAWIEDZIONYCH EMERYTÓW RENCISTÓW - ZPOW-601-21/19";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"KOMITET WYBORCZY PRAWICA - ZPOW-601-20/19";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"KOMITET WYBORCZY SKUTECZNI PIOTRA LIROYA-MARCA - ZPOW-601-17/19";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"KOMITET WYBORCZY WYBORCÓW KOALICJA BEZPARTYJNI I SAMORZĄDOWCY - ZPOW-601-10/19";"KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA - ZPOW-601-15/19"
"1";"Okręg Wyborczy Nr 1";"697907";"757942";"259666";"438239";"490";"5597";"37";"35";"6";"1";"0";"0";"28";"438194";"28";"84";"438110";"5674";"3655";"2019";"0";"432436";"108191";"";"25319";"31006";"";"183364";"";"71061";"13495";""
"2";"Okręg Wyborczy Nr 2";"470923";"514042";"183904";"287009";"417";"4854";"44";"42";"2";"1";"0";"0";"39";"287015";"39";"37";"286978";"3976";"2688";"1288";"0";"283002";"90812";"";"15346";"20528";"";"114728";"";"34957";"6631";""
"3";"Okręg Wyborczy Nr 3";"895625";"1001757";"235423";"660182";"630";"8921";"82";"80";"2";"0";"0";"0";"78";"660117";"78";"90";"660027";"5572";"3230";"2342";"0";"654455";"214629";"";"48775";"42269";"";"226915";"";"100843";"21024";""
"4";"Okręg Wyborczy Nr 4";"712403";"778558";"245980";"466427";"480";"3538";"77";"75";"6";"0";"0";"0";"69";"466407";"69";"13";"466394";"6412";"4389";"2023";"0";"459982";"142844";"";"32406";"41497";"";"167550";"";"69763";"5922";""
"5";"Okręg Wyborczy Nr 5";"742540";"813079";"284127";"458383";"575";"5302";"64";"64";"0";"0";"0";"0";"64";"458408";"64";"63";"458345";"6015";"3914";"2101";"0";"452330";"119526";"";"28625";"49225";"";"182648";"";"67076";"5230";""
"6";"Okręg Wyborczy Nr 6";"862523";"938157";"291363";"571149";"952";"4939";"69";"69";"4";"0";"1";"0";"64";"571138";"64";"34";"571104";"5507";"3176";"2331";"0";"565597";"109185";"";"40012";"51474";"";"313284";"";"44152";"7490";""
"7";"Okręg Wyborczy Nr 7";"690813";"747526";"284118";"406690";"782";"3251";"28";"27";"2";"0";"0";"0";"25";"406678";"25";"18";"406660";"5342";"3530";"1812";"0";"401318";"59401";"";"23439";"47604";"";"238802";"";"27404";"4668";""
"8";"Okręg Wyborczy Nr 8";"713950";"776935";"269383";"444548";"465";"3003";"51";"51";"3";"0";"0";"0";"48";"444492";"48";"64";"444428";"6511";"4369";"2142";"0";"437917";"136955";"";"31490";"50943";"";"150188";"";"68341";"";""
"9";"Okręg Wyborczy Nr 9";"566005";"612800";"147178";"418814";"414";"2941";"83";"81";"2";"1";"0";"0";"78";"418745";"78";"106";"418639";"3099";"1632";"1467";"0";"415540";"148830";"";"27627";"18828";"";"136731";"";"83524";"";""
"10";"Okręg Wyborczy Nr 10";"521078";"567583";"170181";"350868";"399";"1725";"21";"20";"0";"0";"0";"0";"20";"350848";"20";"16";"350832";"4506";"2973";"1533";"0";"346326";"54160";"";"23427";"36151";"";"194658";"";"37930";"";""
